gene a,gene b,cell line,interaction
SMARCA2,FANCM,A427,synthetic lethality
CTNNB1,VHL,A427,synthetic lethality
MUTYH,AURKA,A427,synthetic lethality
RNF8,BAP1,A427,synthetic lethality
CTNNB1,MSH2,A427,synthetic lethality
PARG,PTEN,A427,synthetic lethality
POLE,CREBBP,A427,synthetic lethality
CREBBP,REV3L,A427,synthetic lethality
TTN,SAE1,A427,synthetic lethality
HLTF,MYC,A427,synthetic lethality
POLQ,FBXW7,A427,synthetic lethality
MLH1,REV3L,A427,synthetic lethality
GNAQ,SF3B1,A427,synthetic lethality
FBH1,SF3B1,A427,synthetic lethality
FBXW7,ERCC4,A427,synthetic lethality
BRD7,FANCM,A427,synthetic lethality
FBH1,POLE,A427,synthetic lethality
RAD18,MYC,A427,synthetic lethality
BRCA2,SHPRH,A427,synthetic lethality
CASP8,PARP11,A427,synthetic lethality
SRC,EIF1AX,A427,synthetic lethality
POLK,RUNX1,A427,synthetic lethality
HDAC6,RUNX1,A427,synthetic lethality
MSH6,PARP3,A427,synthetic lethality
UBE2I,TP53,A427,synthetic lethality
POLH,APEX1,A427,synthetic lethality
PARP12,ARID1A,A427,synthetic lethality
SF3B1,DGKA,A427,synthetic lethality
KAT5,TTN,A427,synthetic lethality
EED,CHEK2,A427,synthetic lethality
MRE11,CDK7,A427,synthetic lethality
ERBB2,SF3B1,A427,synthetic lethality
GNAQ,TDP2,A427,synthetic lethality
KDM1A,NF2,A427,synthetic lethality
ERCC1,LIG3,A427,synthetic lethality
BAP1,PARP6,A427,synthetic lethality
SF3B1,FEN1,A427,synthetic lethality
AURKA,NBN,A427,synthetic lethality
EGFR,PRMT5,A427,synthetic lethality
RAD54B,EIF1AX,A427,synthetic lethality
PIK3CA,VEGFA,A427,synthetic lethality
RB1,SAE1,A427,synthetic lethality
RAD54B,DGKA,A427,synthetic lethality
UHRF1,PARP1,A427,synthetic lethality
PARP10,CHEK2,A427,synthetic lethality
APC,MTOR,A427,synthetic lethality
MLH1,MUS81,A427,synthetic lethality
NOTCH1,RNF8,A427,synthetic lethality
SMARCA2,CHEK2,A427,synthetic lethality
TMEM173,TOP1,A427,synthetic lethality
TET2,XRCC6,A427,synthetic lethality
POLH,BAP1,A427,synthetic lethality
KMT2D,CDK4,A427,synthetic lethality
SHPRH,ARID1A,A427,synthetic lethality
XRCC1,SMARCA2,A427,synthetic lethality
PRKDC,GNAQ,A427,synthetic lethality
FANCD2,KIF11,A427,synthetic lethality
