gene a,gene b,cell line,interaction
HDAC6,KRAS,MDAMB231,synthetic lethality
PARP1,SIRT6,MDAMB231,synthetic lethality
FGFR2,RECQL4,MDAMB231,synthetic lethality
TET2,DHFR,MDAMB231,synthetic lethality
CHEK1,EED,MDAMB231,synthetic lethality
MAPK1,CREBBP,MDAMB231,synthetic lethality
PRKDC,KDM5C,MDAMB231,synthetic lethality
ERCC2,BRAF,MDAMB231,synthetic lethality
CHEK1,VEGFA,MDAMB231,synthetic lethality
CTNNB1,BAP1,MDAMB231,synthetic lethality
TDP1,MGMT,MDAMB231,synthetic lethality
EGFR,KRAS,MDAMB231,synthetic lethality
SMO,EIF1AX,MDAMB231,synthetic lethality
RAD51,KMT2D,MDAMB231,synthetic lethality
APEX2,EIF1AX,MDAMB231,synthetic lethality
SMARCA4,ERCC4,MDAMB231,synthetic lethality
FGFR2,STK11,MDAMB231,synthetic lethality
BRAF,TP53,MDAMB231,synthetic lethality
USP1,MGMT,MDAMB231,synthetic lethality
SMARCA4,MAP2K1,MDAMB231,synthetic lethality
APC,AURKA,MDAMB231,synthetic lethality
XRCC1,UHRF1,MDAMB231,synthetic lethality
PRMT5,PARP1,MDAMB231,synthetic lethality
NBN,MYC,MDAMB231,synthetic lethality
RAD51,SF3B1,MDAMB231,synthetic lethality
KRAS,PARP8,MDAMB231,synthetic lethality
POLE,AHR,MDAMB231,synthetic lethality
CARM1,RB1,MDAMB231,synthetic lethality
HDAC6,CHEK2,MDAMB231,non-sl
POLE,KRAS,MDAMB231,non-sl
BLM,PARP1,MDAMB231,non-sl
SIRT6,MUTYH,MDAMB231,non-sl
FGFR2,POLE,MDAMB231,non-sl
HLTF,RECQL4,MDAMB231,non-sl
UBE2A,TET2,MDAMB231,non-sl
DHFR,MSH6,MDAMB231,non-sl
TP53BP1,CHEK1,MDAMB231,non-sl
EED,ERCC1,MDAMB231,non-sl
MAPK1,NF2,MDAMB231,non-sl
DUT,CREBBP,MDAMB231,non-sl
PRKDC,BRCA2,MDAMB231,non-sl
SHPRH,KDM5C,MDAMB231,non-sl
ERCC2,MSH2,MDAMB231,non-sl
HDAC1,BRAF,MDAMB231,non-sl
PIK3CA,CHEK1,MDAMB231,non-sl
VEGFA,PTEN,MDAMB231,non-sl
CTNNB1,DCC,MDAMB231,non-sl
POLQ,BAP1,MDAMB231,non-sl
TDP1,GNAQ,MDAMB231,non-sl
SMARCA2,MGMT,MDAMB231,non-sl
EGFR,NOTCH1,MDAMB231,non-sl
TOP1,KRAS,MDAMB231,non-sl
SMO,EGFR,MDAMB231,non-sl
LIG4,EIF1AX,MDAMB231,non-sl
RAD51,CREBBP,MDAMB231,non-sl
RAD52,KMT2D,MDAMB231,non-sl
APEX2,NPM1,MDAMB231,non-sl
POLE,EIF1AX,MDAMB231,non-sl
LIG1,SMARCA4,MDAMB231,non-sl
ERCC4,CREBBP,MDAMB231,non-sl
FGFR2,RUNX1,MDAMB231,non-sl
LIG1,STK11,MDAMB231,non-sl
HDAC2,BRAF,MDAMB231,non-sl
SHPRH,TP53,MDAMB231,non-sl
USP1,MUTYH,MDAMB231,non-sl
RNF43,MGMT,MDAMB231,non-sl
VEGFA,SMARCA4,MDAMB231,non-sl
SMYD2,MAP2K1,MDAMB231,non-sl
PARP6,APC,MDAMB231,non-sl
AURKA,EIF1AX,MDAMB231,non-sl
PARP4,XRCC1,MDAMB231,non-sl
UHRF1,NBN,MDAMB231,non-sl
PRMT5,NOTCH1,MDAMB231,non-sl
BRD4,PARP1,MDAMB231,non-sl
PARP4,NBN,MDAMB231,non-sl
ZC3HAV1,MYC,MDAMB231,non-sl
RAD51,TET2,MDAMB231,non-sl
HDAC2,SF3B1,MDAMB231,non-sl
INO80,KRAS,MDAMB231,non-sl
PARP8,SETD2,MDAMB231,non-sl
MUS81,POLE,MDAMB231,non-sl
AHR,STK11,MDAMB231,non-sl
CARM1,MYC,MDAMB231,non-sl
SRC,RB1,MDAMB231,non-sl
