gene a,gene b,cell line,interaction
SMARCA4,ERCC4,MDAMB231,synthetic lethality
XRCC1,UHRF1,MDAMB231,synthetic lethality
ERCC2,BRAF,MDAMB231,synthetic lethality
RAD51,SF3B1,MDAMB231,synthetic lethality
POLE,AHR,MDAMB231,synthetic lethality
HDAC6,KRAS,MDAMB231,synthetic lethality
KRAS,PARP8,MDAMB231,synthetic lethality
PARP1,SIRT6,MDAMB231,synthetic lethality
FGFR2,STK11,MDAMB231,synthetic lethality
EGFR,KRAS,MDAMB231,synthetic lethality
MAPK1,CREBBP,MDAMB231,synthetic lethality
APEX2,EIF1AX,MDAMB231,synthetic lethality
CARM1,RB1,MDAMB231,synthetic lethality
CTNNB1,BAP1,MDAMB231,synthetic lethality
APC,AURKA,MDAMB231,synthetic lethality
NBN,MYC,MDAMB231,synthetic lethality
SMO,EIF1AX,MDAMB231,synthetic lethality
BRAF,TP53,MDAMB231,synthetic lethality
USP1,MGMT,MDAMB231,synthetic lethality
TDP1,MGMT,MDAMB231,synthetic lethality
PRKDC,KDM5C,MDAMB231,synthetic lethality
CHEK1,VEGFA,MDAMB231,synthetic lethality
RAD51,KMT2D,MDAMB231,synthetic lethality
CHEK1,EED,MDAMB231,synthetic lethality
FGFR2,RECQL4,MDAMB231,synthetic lethality
SMARCA4,MAP2K1,MDAMB231,synthetic lethality
PRMT5,PARP1,MDAMB231,synthetic lethality
TET2,DHFR,MDAMB231,synthetic lethality
PAPD7,SMARCA4,MDAMB231,non-sl
ERCC4,APC,MDAMB231,non-sl
TDP1,XRCC1,MDAMB231,non-sl
UHRF1,SF3B1,MDAMB231,non-sl
ERCC2,SF3B1,MDAMB231,non-sl
BUB1B,BRAF,MDAMB231,non-sl
RAD51,NF2,MDAMB231,non-sl
MYC,SF3B1,MDAMB231,non-sl
POLE,RUNX1,MDAMB231,non-sl
AHR,APC,MDAMB231,non-sl
HDAC6,APC,MDAMB231,non-sl
MET,KRAS,MDAMB231,non-sl
KRAS,FANCM,MDAMB231,non-sl
PARP8,RECQL4,MDAMB231,non-sl
PARP1,PTEN,MDAMB231,non-sl
SIRT6,FBXW7,MDAMB231,non-sl
FGFR2,RB1,MDAMB231,non-sl
NRAS,STK11,MDAMB231,non-sl
RNF168,EGFR,MDAMB231,non-sl
KRAS,FAT1,MDAMB231,non-sl
MAPK1,NF2,MDAMB231,non-sl
NEK2,CREBBP,MDAMB231,non-sl
APEX2,SMAD4,MDAMB231,non-sl
KRAS,EIF1AX,MDAMB231,non-sl
CARM1,FAT1,MDAMB231,non-sl
PARP3,RB1,MDAMB231,non-sl
CTNNB1,APC,MDAMB231,non-sl
PARP16,BAP1,MDAMB231,non-sl
PARP12,APC,MDAMB231,non-sl
AURKA,EIF1AX,MDAMB231,non-sl
RAD18,NBN,MDAMB231,non-sl
POLL,MYC,MDAMB231,non-sl
SMO,APC,MDAMB231,non-sl
MPHOSPH8,EIF1AX,MDAMB231,non-sl
CARM1,BRAF,MDAMB231,non-sl
PARP14,TP53,MDAMB231,non-sl
USP1,FAT1,MDAMB231,non-sl
POLG,MGMT,MDAMB231,non-sl
TDP1,NF1,MDAMB231,non-sl
PARP14,MGMT,MDAMB231,non-sl
PRKDC,NF1,MDAMB231,non-sl
PARP14,KDM5C,MDAMB231,non-sl
PBRM1,CHEK1,MDAMB231,non-sl
VEGFA,RUNX1,MDAMB231,non-sl
RAD51,APEX1,MDAMB231,non-sl
NEK2,KMT2D,MDAMB231,non-sl
BTK,CHEK1,MDAMB231,non-sl
EED,APC,MDAMB231,non-sl
FGFR2,VHL,MDAMB231,non-sl
RECQL4,VHL,MDAMB231,non-sl
TNKS2,SMARCA4,MDAMB231,non-sl
CTNNB1,MAP2K1,MDAMB231,non-sl
PRMT5,SETD2,MDAMB231,non-sl
PARP1,TET2,MDAMB231,non-sl
MUS81,TET2,MDAMB231,non-sl
DHFR,MSH6,MDAMB231,non-sl
