array_gene,query_gene,pi,fdr,z,sd,label,condition,neg_sample_type,related_sl_pair
AEP3,DST1,-0.112479206575687,0.0492452830188679,-4.09395557427606,0.0181420325038705,SL,BLEO,,
AEP3,SGS1,0.00071613676902,0.992052957233849,0.0197685129128397,0.009414755787879,non_SL,BLEO,A_x,AEP3-DST1
PEX3,DST1,-0.0001221808330892,0.998961312345913,-0.0002797215146791,0.0040334861022886,non_SL,BLEO,x_B,AEP3-DST1
END3,RAD9,-0.258826915885084,0.0196470588235294,-9.43584646071895,0.0624800701147924,SL,BLEO,,
END3,ELA1,0.0001945374138776,0.968271068952937,-0.0084051953907931,0.0081814562248936,non_SL,BLEO,A_x,END3-RAD9
TAF13,RAD9,-0.000410759714323,0.985761851015801,-0.0074876818698683,0.0059279318076495,non_SL,BLEO,x_B,END3-RAD9
RPN4,RSC1,-0.328433853083981,0.014,-11.9594247876353,0.0346237977748007,SL,BLEO,,
RPN4,SGS1,-0.0013042702970655,0.972259244917715,-0.0472487799494935,0.0084743535066412,non_SL,BLEO,A_x,RPN4-RSC1
IRC23,RSC1,-0.0004610049907256,0.972522799774817,-0.0115313979615919,0.0057246181044302,non_SL,BLEO,x_B,RPN4-RSC1
CHS6,RAD9,-0.337188083728194,0.0018333333333333,-12.2676530703076,0.0961947520259781,SL,BLEO,,
CHS6,ELC1,-3.71831629373334e-05,0.972133955223881,-0.0072413210665722,0.0076837063365489,non_SL,BLEO,A_x,CHS6-RAD9
GIP2,RAD9,0.0008320490752936,0.957504032258064,0.0222329699299486,0.0060324470866696,non_SL,BLEO,x_B,CHS6-RAD9
DID4,DST1,-0.104827248305456,0.0498153846153846,-3.83855147728049,0.0300639471737618,SL,BLEO,,
DID4,IRA1,-0.0027863413145486,0.909780031821798,-0.0504533302048245,0.011366321882683,non_SL,BLEO,A_x,DID4-DST1
UTR2,DST1,-0.000961339195179,0.900696808510638,-0.0310335081488654,0.0045833548553351,non_SL,BLEO,x_B,DID4-DST1
UTP23,RAD9,-0.555466826916864,0.0,-20.1124126807227,0.0514001986447111,SL,BLEO,,
UTP23,CDC4,7.26396922682074e-05,0.95936276634164,-0.0131864629796852,0.0068667085562769,non_SL,BLEO,A_x,UTP23-RAD9
YER121W,RAD9,0.0010185203374165,0.93531711115437,0.0328686799841487,0.0069234200577144,non_SL,BLEO,x_B,UTP23-RAD9
YNL296W,IRA1,-0.290814218430283,0.0247,-10.5524911583818,0.0143920391123859,SL,BLEO,,
YNL296W,SGS1,-0.000790537423963,0.990586112128985,-0.0225813765190491,0.0064955809524974,non_SL,BLEO,A_x,YNL296W-IRA1
FCF1,IRA1,0.0003294764435562,0.994885659655832,0.0027273733646001,0.004461691341483,non_SL,BLEO,x_B,YNL296W-IRA1
ILM1,DST1,-0.115955766081473,0.0499795918367347,-4.19178885172758,0.0239036155055527,SL,BLEO,,
ILM1,CDC73,-0.0003889548619948,0.975051724137931,-0.0137925011145817,0.0134328281673047,non_SL,BLEO,A_x,ILM1-DST1
TOM5,DST1,0.0001384526450618,0.985060224890414,0.0046042144900068,0.0029935465401896,non_SL,BLEO,x_B,ILM1-DST1
MCD4,RSC1,-0.303802383403637,0.013,-11.0275842757849,0.0982545922520953,SL,BLEO,,
MCD4,RAD9,0.0004143328975438,0.957960314417178,0.0216389003281822,0.0086013503532894,non_SL,BLEO,A_x,MCD4-RSC1
VBA5,RSC1,-0.0013763200957635,0.906195550351288,-0.0397529362034181,0.0090999909757704,non_SL,BLEO,x_B,MCD4-RSC1
ISU1,RPD3,-0.147983391198471,0.0428148148148148,-5.42092343521821,0.0191296879797291,SL,BLEO,,
ISU1,SGS1,-0.0013028179544284,0.97410186240973,-0.0405237095085262,0.0101264937318111,non_SL,BLEO,A_x,ISU1-RPD3
ECM2,RPD3,-0.0002454016271606,0.985639203436158,-0.0052486134038826,0.0024061804154577,non_SL,BLEO,x_B,ISU1-RPD3
LEO1,RPD3,-0.187325308781989,0.0353,-6.90966063342934,0.0519658857646704,SL,BLEO,,
LEO1,RSC2,0.0005924023790233,0.92179720417405,0.0232911910336044,0.0029336661236338,non_SL,BLEO,A_x,LEO1-RPD3
SFB2,RPD3,0.0003620478830387,0.986248292016397,0.0050623689174022,0.0042372869872846,non_SL,BLEO,x_B,LEO1-RPD3
FEN2,RPD3,-0.147508567304194,0.0428928571428571,-5.37510672042863,0.0191703561370063,SL,BLEO,,
FEN2,ELG1,-8.10344153356346e-05,0.967494023083265,0.0111148608566438,0.0086369203043743,non_SL,BLEO,A_x,FEN2-RPD3
RRD2,RPD3,0.0005541394749497,0.934662353175393,0.0213476821930412,0.0042938603507945,non_SL,BLEO,x_B,FEN2-RPD3
YML010W-A,TEL1,-0.307095133794172,0.012125,-11.202647279066,0.0396966721961912,SL,BLEO,,
YML010W-A,SGS1,-0.0027301170519034,0.934983241455347,-0.100388368351815,0.00565251332556,non_SL,BLEO,A_x,YML010W-A-TEL1
RRN5,TEL1,0.0009409189040359,0.932738813136163,0.0315156029928458,0.0049678115686312,non_SL,BLEO,x_B,YML010W-A-TEL1
ERP4,RAD9,-0.254211814193751,0.0211666666666667,-9.23606319942231,0.049091704618862,SL,BLEO,,
ERP4,RSC1,0.0005731181794761,0.923848027842227,0.0326105909448657,0.0063591233935875,non_SL,BLEO,A_x,ERP4-RAD9
RGA1,RAD9,0.0002756820604803,0.992616909839132,-0.003665151171445,0.0119056871393403,non_SL,BLEO,x_B,ERP4-RAD9
SSZ1,RPD3,-0.192153430438829,0.0372222222222222,-6.98220266674915,0.0093006677850315,SL,BLEO,,
SSZ1,SGS1,-0.0024225526293988,0.945257160909857,-0.0829618879730022,0.0058397293537232,non_SL,BLEO,A_x,SSZ1-RPD3
YBR051W,RPD3,0.0005924403827595,0.944604840309462,0.0182710777859878,0.0032462309887848,non_SL,BLEO,x_B,SSZ1-RPD3
COG1,RAD9,-0.503501756010048,0.00025,-18.4245724821375,0.0698494517224894,SL,BLEO,,
COG1,SGS1,0.0031970310231216,0.917934762348555,0.122646859931623,0.0047486961353956,non_SL,BLEO,A_x,COG1-RAD9
YMR099C,RAD9,-0.0024987889768856,0.906394179370422,-0.0463651169274508,0.0203938806984097,non_SL,BLEO,x_B,COG1-RAD9
ECM23,RAD1,-0.582014639849783,0.0,-21.1244707019739,0.0175493098908713,SL,BLEO,,
ECM23,SET2,-0.0012329932194077,0.970181700753498,-0.0372861559455692,0.0176224245867486,non_SL,BLEO,A_x,ECM23-RAD1
SPO21,RAD1,0.0007312805357782,0.910712057588482,0.0275417076312942,0.0050432526080181,non_SL,BLEO,x_B,ECM23-RAD1
CAF120,RPD3,-0.142185633332652,0.0453548387096774,-5.16193577054126,0.019103645231557,SL,BLEO,,
CAF120,MEU1,-0.0001076861863405,0.986017032551098,0.0038882801313907,0.0105618136689219,non_SL,BLEO,A_x,CAF120-RPD3
YLL032C,RPD3,0.0006334594504741,0.937740998607519,0.0204693571655829,0.0069540325325099,non_SL,BLEO,x_B,CAF120-RPD3
NUC1,RAD51,-0.425530745914175,0.0018571428571428,-15.2066971323748,0.0950240468814681,SL,BLEO,,
NUC1,CHD1,0.000803010633411,0.942700563873226,0.0233649185877251,0.0088768904496897,non_SL,BLEO,A_x,NUC1-RAD51
RCL1,RAD51,-0.0003657688739229,0.945635413876239,0.0685613219314943,0.0313765111493583,non_SL,BLEO,x_B,NUC1-RAD51
PET309,DST1,-0.105605524254554,0.049530303030303,-3.82785470279914,0.011023679659438,SL,BLEO,,
PET309,DUN1,-0.0002912805174821,0.998713448149505,-0.0003860645820493,0.0048468239915534,non_SL,BLEO,A_x,PET309-DST1
CCH1,DST1,0.0006956358363491,0.923274926829268,0.0238805462918703,0.0071054058817816,non_SL,BLEO,x_B,PET309-DST1
NUP84,DST1,-0.111973210706424,0.0492307692307692,-4.12527504681554,0.0280061326336187,SL,BLEO,,
NUP84,JHD2,0.0006250672634479,0.97116873545384,0.0175364587338907,0.0078452223056073,non_SL,BLEO,A_x,NUP84-DST1
YML048W-A,DST1,-0.0007309835955446,0.917117785169243,-0.0258649125407519,0.0038353632985649,non_SL,BLEO,x_B,NUP84-DST1
ACF2,RSC2,-0.294686153560694,0.025,-10.7109433512751,0.0392031799640958,SL,BLEO,,
ACF2,RAD51,-2.44342419657845e-05,0.999339958158996,-0.0023450877146357,0.002488354564585,non_SL,BLEO,A_x,ACF2-RSC2
CPR4,RSC2,-0.000136009305392,0.99652739090065,-0.0016192625601387,0.0046567162788227,non_SL,BLEO,x_B,ACF2-RSC2
RTT109,RPD3,-0.137887981369743,0.0458823529411765,-5.03290199113553,0.0310374261917842,SL,BLEO,,
RTT109,SGS1,-0.0021607536069124,0.947742694975825,-0.0815702786178947,0.0045506651412198,non_SL,BLEO,A_x,RTT109-RPD3
PNS1,RPD3,-5.19168807988357e-05,0.997654718077892,-0.000690209319153,0.0047773840019779,non_SL,BLEO,x_B,RTT109-RPD3
RPL13B,TEP1,-0.320960700647422,0.0071428571428571,-11.6814724947541,0.101325375225387,SL,BLEO,,
RPL13B,SGS1,0.0002626614686474,0.998943861490032,0.0033627794834992,0.0075272752480889,non_SL,BLEO,A_x,RPL13B-TEP1
FLC2,TEP1,-7.27868019423164e-05,0.98944837314275,-0.0062644459832655,0.0087017588005468,non_SL,BLEO,x_B,RPL13B-TEP1
ELP4,RPD3,-0.161413328356495,0.0456111111111111,-5.8599435171117,0.0059615843727211,SL,BLEO,,
ELP4,HO,-2.97089334923839e-05,0.996123935338084,0.001796950916967,0.0042454958581628,non_SL,BLEO,A_x,ELP4-RPD3
PUS9,RPD3,-0.0009177970767658,0.907109365558912,-0.030174116386445,0.0074977452363681,non_SL,BLEO,x_B,ELP4-RPD3
RSM18,DST1,-0.12650012868499,0.04465,-4.58140480669045,0.0130948970745533,SL,BLEO,,
RSM18,SGS1,-0.0028149781803026,0.929193424904301,-0.108653390841541,0.0063026806668282,non_SL,BLEO,A_x,RSM18-DST1
YLR232W,DST1,-0.0001818448309369,0.996507876257354,-0.0010183028520965,0.0058062725880509,non_SL,BLEO,x_B,RSM18-DST1
YDR230W,RPD3,-0.200528359235735,0.038,-7.26551641655845,0.0242679526563238,SL,BLEO,,
YDR230W,CHD1,0.0011143568302442,0.917318387413963,0.0328092112492792,0.0051937960213602,non_SL,BLEO,A_x,YDR230W-RPD3
PEX14,RPD3,-2.39418125498256e-05,0.989205538221529,-0.0041507674037898,0.0029713799781465,non_SL,BLEO,x_B,YDR230W-RPD3
PHA2,RPD3,-0.141479304145095,0.0446969696969697,-5.09756962620482,0.0194760346362005,SL,BLEO,,
PHA2,BLM10,0.0014702975766151,0.914242083224287,0.0463698518504359,0.0081219268397172,non_SL,BLEO,A_x,PHA2-RPD3
CDC21,RPD3,-0.0004465683626692,0.943100635172688,-0.0187527393839394,0.0120360894419567,non_SL,BLEO,x_B,PHA2-RPD3
ULP1,RAD1,-0.225415865782555,0.0476666666666667,-8.24158122243027,0.0674556435056327,SL,BLEO,,
