candidate_genes,disease,celltype,y,user_question,full_query
"['CYTIP', 'ADCY2', 'DNAH10OS', 'XKR4', 'NDUFA3']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA3,"Among the genes CYTIP, ADCY2, DNAH10OS, XKR4, and NDUFA3, which one exhibits the most specific expression in pancreatic epsilon cells and thereby represents the best candidate for targeted intervention in type 1 diabetes mellitus?","Among the genes CYTIP, ADCY2, DNAH10OS, XKR4, and NDUFA3, which one exhibits the most specific expression in pancreatic epsilon cells and thereby represents the best candidate for targeted intervention in type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific embeddings from the PINNACLE database. Determine which pancreatic epsilon cell-activated genes overlap with these targets. Next, compute the average embedding of the overlapping set and calculate the cosine similarity between this reference and each individual target. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['RASGRF2-AS1', 'RAB3IP', 'NDUFB2', 'LINC02024', 'POLR2G']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFB2,"Among the following genes—RASGRF2-AS1, RAB3IP, NDUFB2, LINC02024, and POLR2G—which exhibits the highest cell-type specificity for pancreatic epsilon cells in the context of type 1 diabetes mellitus?","Among the following genes—RASGRF2-AS1, RAB3IP, NDUFB2, LINC02024, and POLR2G—which exhibits the highest cell-type specificity for pancreatic epsilon cells in the context of type 1 diabetes mellitus? Identify verified therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific embeddings from the PINNACLE database. Next, determine which pancreatic epsilon cell-activated genes in PINNACLE overlap with these therapeutic targets, defining the cell-type–specific targets for type 1 diabetes. Calculate the average embedding for this overlapping set and compute the cosine similarity between this average reference and each individual target’s embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['PIP5KL1', 'ZCCHC24', 'AGAP4', 'RPS26', 'PANK3']",type 1 diabetes mellitus,pancreatic epsilon cell,RPS26,"Among the genes PIP5KL1, ZCCHC24, AGAP4, RPS26, and PANK3, which one exhibits the highest cell-type specificity in pancreatic ε-cells, thereby representing the most promising target for type 1 diabetes mellitus intervention?","Among the genes PIP5KL1, ZCCHC24, AGAP4, RPS26, and PANK3, which one exhibits the highest cell-type specificity in pancreatic ε-cells, thereby representing the most promising target for type 1 diabetes mellitus intervention? Determine the verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from PINNACLE. Next, identify the subset of these targets that overlap with genes activated in pancreatic epsilon cells, as defined in PINNACLE. Compute the average embedding for this overlapping set and calculate the cosine similarity between this reference embedding and each individual target’s embedding. If one gene exhibits a substantially higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['INS', 'LAX1', 'GATAD2B', 'GABARAPL1', 'IPO7']",type 1 diabetes mellitus,pancreatic epsilon cell,INS,"Which gene among INS, LAX1, GATAD2B, GABARAPL1, and IPO7 exhibits the highest cell-type specificity in pancreatic epsilon cells for use as a target in type 1 diabetes mellitus?","Which gene among INS, LAX1, GATAD2B, GABARAPL1, and IPO7 exhibits the highest cell-type specificity in pancreatic epsilon cells for use as a target in type 1 diabetes mellitus? Identify all validated therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with genes activated in pancreatic epsilon cells, and compute the average embedding for this overlapping set. Then, calculate the cosine similarity between this average and each individual target embedding. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CSKMT', 'PAK5', 'MT-ND1', 'KCNS1', 'DNAJB13']",type 1 diabetes mellitus,pancreatic epsilon cell,MT-ND1,"Among the genes CSKMT, PAK5, MT-ND1, KCNS1, and DNAJB13, which one shows the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus?","Among the genes CSKMT, PAK5, MT-ND1, KCNS1, and DNAJB13, which one shows the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which pancreatic epsilon cell–activated genes in PINNACLE overlap with these targets to define a set of cell-type–specific targets. Calculate the average embedding of this set as a reference, then compute the cosine similarity between this reference and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['C4orf36', 'NDUFA1', 'SPON2', 'PARM1', 'MINCR']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA1,"Which gene among C4orf36, NDUFA1, SPON2, PARM1, and MINCR exhibits the highest specificity in pancreatic epsilon cells for potential targeting in type 1 diabetes mellitus?","Which gene among C4orf36, NDUFA1, SPON2, PARM1, and MINCR exhibits the highest specificity in pancreatic epsilon cells for potential targeting in type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of the pancreatic epsilon cell–activated genes in PINNACLE overlap with these targets. Compute the average embedding of these overlapping genes and calculate the cosine similarity between each individual target’s embedding and this average. If one gene exhibits a substantially higher cosine similarity than the others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['DNAJC27-AS1', 'NDUFS7', 'ALG6', 'ALDH1L1-AS1', 'TP53TG3D']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFS7,"Which candidate gene—DNAJC27-AS1, NDUFS7, ALG6, ALDH1L1-AS1, or TP53TG3D—exhibits the highest cell-type specificity in pancreatic epsilon cells relevant to type 1 diabetes mellitus?","Which candidate gene—DNAJC27-AS1, NDUFS7, ALG6, ALDH1L1-AS1, or TP53TG3D—exhibits the highest cell-type specificity in pancreatic epsilon cells relevant to type 1 diabetes mellitus? Identify validated therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific PINNACLE embeddings. Next, determine which of these targets overlap with pancreatic epsilon cell–activated genes in PINNACLE. Compute the average embedding of this overlapping set and calculate the cosine similarity between this reference and each target’s embedding. If one gene shows markedly higher similarity than the others, nominate it as the prime candidate, providing concise, evidence-based justification for its biological relevance."
"['AWAT2', 'PLXNC1', 'AKIP1', 'LTBP3', 'NDUFB1']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFB1,"Which gene among AWAT2, PLXNC1, AKIP1, LTBP3, and NDUFB1 exhibits the highest cell-type specificity in pancreatic epsilon cells and could serve as the optimal target for type 1 diabetes mellitus?","Which gene among AWAT2, PLXNC1, AKIP1, LTBP3, and NDUFB1 exhibits the highest cell-type specificity in pancreatic epsilon cells and could serve as the optimal target for type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which activated genes in pancreatic epsilon cells (as identified in PINNACLE) overlap with these targets, forming the cell-type–specific target set. Compute the average embedding of these genes as a reference vector, then calculate the cosine similarity between this reference and the embedding of each individual target gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['COMMD6', 'LINC01180', 'SCUBE1', 'APBB3', 'FOXP4-AS1']",type 1 diabetes mellitus,pancreatic epsilon cell,COMMD6,"Which gene among COMMD6, LINC01180, SCUBE1, APBB3, and FOXP4-AS1 exhibits the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus?","Which gene among COMMD6, LINC01180, SCUBE1, APBB3, and FOXP4-AS1 exhibits the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus? Determine the confirmed therapeutic targets for type 1 diabetes mellitus. From PINNACLE, obtain the cell-type–specific embeddings for these targets and identify which pancreatic epsilon cell-activated genes overlap with them. Compute the average embedding of this overlapping set and calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance to type 1 diabetes mellitus."
"['TMEM258', 'LINC02731', 'TMEM225B', 'MYO5C', 'CASC8']",type 1 diabetes mellitus,pancreatic epsilon cell,TMEM258,"Which gene among TMEM258, LINC02731, TMEM225B, MYO5C, and CASC8 exhibits the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus?","Which gene among TMEM258, LINC02731, TMEM225B, MYO5C, and CASC8 exhibits the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus? Identify the validated therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the pancreatic epsilon cell-activated genes present in PINNACLE, yielding the cell-type–specific targets for type 1 diabetes. Compute the average embedding for this set and then calculate the cosine similarity between this average and each individual target embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
