candidate_genes,disease,celltype,y,user_question,full_query
"['MIF', 'RTKN', 'ZNF180', 'PDSS2', 'DICER1']",Sjogren syndrome,acinar cell of salivary gland,MIF,"Among the genes MIF, RTKN, ZNF180, PDSS2, and DICER1, which one exhibits the highest specificity in salivary gland acinar cells, making it the most promising candidate for targeted intervention in Sjögren's syndrome?","Among the genes MIF, RTKN, ZNF180, PDSS2, and DICER1, which one exhibits the highest specificity in salivary gland acinar cells, making it the most promising candidate for targeted intervention in Sjögren's syndrome? Identify the verified therapeutic targets for Sjögren syndrome and retrieve their cell type–specific embeddings from PINNACLE. Next, determine which acinar cell–activated genes from the salivary gland in PINNACLE overlap with these targets. Compute the average embedding of the overlapping genes as a reference and calculate the cosine similarity of each gene’s embedding to this reference. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CPT1A', 'CHRM3', 'LMTK3', 'MZB1', 'CCNO']",Sjogren syndrome,acinar cell of salivary gland,CHRM3,"Which gene—CPT1A, CHRM3, LMTK3, MZB1, or CCNO—exhibits the highest specificity in salivary gland acinar cells for targeted intervention in Sjogren's syndrome?","Which gene—CPT1A, CHRM3, LMTK3, MZB1, or CCNO—exhibits the highest specificity in salivary gland acinar cells for targeted intervention in Sjogren's syndrome? Identify the validated therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which genes activated in acinar cells of the salivary gland, as captured by PINNACLE, overlap with these targets to define a set of cell-type–specific targets for the disease. Calculate the average embedding for this set as a reference, and then compute the cosine similarity between this reference and each individual target embedding. Finally, if one gene exhibits a distinctly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['CERS4', 'ABCC8', 'SMARCC2', 'TTC23L', 'RNF39']",Sjogren syndrome,acinar cell of salivary gland,SMARCC2,"Among the genes CERS4, ABCC8, SMARCC2, TTC23L, and RNF39, which one exhibits the highest specificity for acinar cells in the salivary gland, thereby representing the most promising target for Sjogren syndrome?","Among the genes CERS4, ABCC8, SMARCC2, TTC23L, and RNF39, which one exhibits the highest specificity for acinar cells in the salivary gland, thereby representing the most promising target for Sjogren syndrome? Identify validated therapeutic targets for Sjögren syndrome and extract their cell-type specific embeddings from the PINNACLE database. Next, intersect these targets with the acinar cell–specific activated genes from the salivary gland data in PINNACLE. Using this overlapping set as potential cell-type specific targets, compute the average embedding as a reference and then calculate the cosine similarity between this reference and each individual gene’s embedding. If one gene shows a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['FCGRT', 'NMNAT3', 'DSCAM', 'SRSF9', 'MYH7']",Sjogren syndrome,acinar cell of salivary gland,FCGRT,"Which gene among FCGRT, NMNAT3, DSCAM, SRSF9, and MYH7 exhibits the highest specificity for expression in salivary gland acinar cells, thereby representing the most promising target for therapeutic intervention in Sjögren’s syndrome?","Which gene among FCGRT, NMNAT3, DSCAM, SRSF9, and MYH7 exhibits the highest specificity for expression in salivary gland acinar cells, thereby representing the most promising target for therapeutic intervention in Sjögren’s syndrome? Identify the validated therapeutic targets for Sjogren syndrome and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which acinar cell–specific genes from the salivary gland in PINNACLE overlap with these targets, thereby defining a subset of cell-type–specific therapeutic candidates. Compute the average embedding of this subset, then calculate the cosine similarity between this average and each individual target’s embedding. If one gene exhibits markedly higher similarity than the others, nominate it as the top candidate and provide a concise evidence-based rationale for its biological relevance."
"['PYM1', 'SLC16A5', 'E2F3', 'RMC1', 'BRI3']",Sjogren syndrome,acinar cell of salivary gland,PYM1,"Which gene—PYM1, SLC16A5, E2F3, RMC1, or BRI3—exhibits the highest acinar cell-specific expression in the salivary gland, making it the most promising candidate for targeting Sjögren's syndrome?","Which gene—PYM1, SLC16A5, E2F3, RMC1, or BRI3—exhibits the highest acinar cell-specific expression in the salivary gland, making it the most promising candidate for targeting Sjögren's syndrome? Identify validated therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which activated genes from salivary gland acinar cells in PINNACLE overlap with these targets. Compute the average embedding for the overlapping gene set and calculate the cosine similarity between this reference and the embedding of each target gene. Nominate the gene with the highest similarity as the top candidate and provide a concise evidence-based rationale for its biological relevance."
"['SNX3', 'STAC2', 'HP1BP3', 'PPIA', 'NOM1']",Sjogren syndrome,acinar cell of salivary gland,PPIA,"Which gene among SNX3, STAC2, HP1BP3, PPIA, and NOM1 exhibits the highest specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjögren's syndrome?","Which gene among SNX3, STAC2, HP1BP3, PPIA, and NOM1 exhibits the highest specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjögren's syndrome? Identify and verify therapeutic targets for Sjogren syndrome, then retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which genes activated in salivary gland acinar cells overlap with these targets, and compute the average embedding for this overlapping set as a reference. Calculate the cosine similarity between this reference and each individual target. If one gene exhibits markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['UVRAG', 'SNRPD3', 'PRKACA', 'ASPSCR1', 'CTSS']",Sjogren syndrome,acinar cell of salivary gland,CTSS,"Among the following genes—UVRAG, SNRPD3, PRKACA, ASPSCR1, and CTSS—which displays the highest cell-type-specific expression in salivary gland acinar cells for potential targeted therapy in Sjogren syndrome?","Among the following genes—UVRAG, SNRPD3, PRKACA, ASPSCR1, and CTSS—which displays the highest cell-type-specific expression in salivary gland acinar cells for potential targeted therapy in Sjogren syndrome? Identify the verified therapeutic targets for Sjögren syndrome and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the acinar cell-activated genes in the salivary gland from the PINNACLE dataset to define the cell-type–specific therapeutic candidates. Calculate the average embedding for this overlapping set as a reference, then compute the cosine similarity between this reference and each individual target embedding. If one gene displays a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['KIF2C', 'PPP2R3A', 'HLA-DPB1', 'CCDC50', 'SULF1']",Sjogren syndrome,acinar cell of salivary gland,HLA-DPB1,"Which gene among KIF2C, PPP2R3A, HLA-DPB1, CCDC50, and SULF1 demonstrates the highest specificity in salivary gland acinar cells for targeted intervention in Sjögren’s syndrome?","Which gene among KIF2C, PPP2R3A, HLA-DPB1, CCDC50, and SULF1 demonstrates the highest specificity in salivary gland acinar cells for targeted intervention in Sjögren’s syndrome? Identify the verified therapeutic targets for Sjogren syndrome and retrieve their cell-type-specific embeddings from PINNACLE. Next, determine which genes activated in salivary gland acinar cells overlap with these targets, defining the cell-type-specific targets for Sjogren syndrome. Compute the average embedding of these overlapping genes to serve as a reference, then calculate the cosine similarity between this reference and each individual target’s embedding. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['NAA35', 'FLRT3', 'OGFOD2', 'HLA-DPA1', 'CRTC3']",Sjogren syndrome,acinar cell of salivary gland,HLA-DPA1,"Among the genes NAA35, FLRT3, OGFOD2, HLA-DPA1, and CRTC3, which one exhibits the highest cell-type-specific expression in salivary gland acinar cells, making it the most promising candidate for targeting in Sjögren syndrome?","Among the genes NAA35, FLRT3, OGFOD2, HLA-DPA1, and CRTC3, which one exhibits the highest cell-type-specific expression in salivary gland acinar cells, making it the most promising candidate for targeting in Sjögren syndrome? Identify the verified therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which activated genes in acinar cells of the salivary gland from PINNACLE overlap with these targets. Compute the average embedding of this overlapping set as a reference, then calculate the cosine similarity between this reference and each individual target. If one gene displays a markedly higher similarity than the others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['MAGEA2', 'BICD1', 'JAK1', 'COL11A1', 'EPB41']",Sjogren syndrome,acinar cell of salivary gland,JAK1,"Which gene among MAGEA2, BICD1, JAK1, COL11A1, and EPB41 shows the highest specificity for acinar cells in the salivary gland, making it the most promising target for Sjogren syndrome?","Which gene among MAGEA2, BICD1, JAK1, COL11A1, and EPB41 shows the highest specificity for acinar cells in the salivary gland, making it the most promising target for Sjogren syndrome? Identify verified therapeutic targets for Sjögren syndrome and obtain their cell-type–specific embeddings from the PINNACLE tool. Next, determine which genes activated in salivary gland acinar cells overlap with these targets to generate a list of candidate cell-type–specific targets. Compute the average embedding across these candidates to serve as a reference profile, then calculate the cosine similarity between this reference and each individual candidate gene's embedding. If one gene shows a markedly higher similarity than the others, designate it as the top candidate. Provide a concise, evidence-based rationale for its biological relevance in the context of Sjögren syndrome."
