candidate_genes,disease,celltype,y,user_question,full_query
"['RRM1', 'PTGES3', 'ERICH4', 'PCP2', 'TRPM2']",Hepatoblastoma,endothelial,RRM1,"Which gene among RRM1, PTGES3, ERICH4, PCP2, and TRPM2 exhibits the highest endothelial cell specificity, making it the most promising candidate for targeted hepatoblastoma therapy?","Which gene among RRM1, PTGES3, ERICH4, PCP2, and TRPM2 exhibits the highest endothelial cell specificity, making it the most promising candidate for targeted hepatoblastoma therapy? Identify the validated therapeutic targets for Hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which endothelial-activated genes in PINNACLE overlap with these targets, forming the set of cell-type–specific targets for Hepatoblastoma. Compute the average embedding for this set and then calculate the cosine similarity between this average and each individual target's embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['CASKIN2', 'SHANK2', 'POLE3', 'NUDT19', 'CREM']",Hepatoblastoma,endothelial,POLE3,"Which gene among CASKIN2, SHANK2, POLE3, NUDT19, and CREM exhibits the most endothelial cell-specific expression, thereby indicating its potential as a targeted candidate for hepatoblastoma?","Which gene among CASKIN2, SHANK2, POLE3, NUDT19, and CREM exhibits the most endothelial cell-specific expression, thereby indicating its potential as a targeted candidate for hepatoblastoma? Using validated therapeutic targets for Hepatoblastoma, extract their cell-type–specific embeddings from the PINNACLE dataset. Identify which of these targets overlap with endothelial-activated genes in PINNACLE to define the cell-type–specific target set. Compute the average embedding for this set as a reference and then calculate the cosine similarity between the reference and each individual target. If a gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['XPC', 'POLD2', 'TMEM135', 'NXF1', 'YWHAB']",Hepatoblastoma,endothelial,POLD2,"Which gene among XPC, POLD2, TMEM135, NXF1, and YWHAB exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma?","Which gene among XPC, POLD2, TMEM135, NXF1, and YWHAB exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma? Identify the validated therapeutic targets for hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which of the endothelial-activated genes in PINNACLE overlap with these targets to define the relevant cell-type–specific targets for hepatoblastoma. Compute the average embedding for this overlapping set and then calculate the cosine similarity between the average and each individual target gene embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['FLT4', 'NAPSA', 'IL5RA', 'PPP2R1B', 'TAF3']",Hepatoblastoma,endothelial,FLT4,"Which gene among FLT4, NAPSA, IL5RA, PPP2R1B, and TAF3 exhibits the highest endothelial cell-type specificity for strategies aimed at targeting hepatoblastoma?","Which gene among FLT4, NAPSA, IL5RA, PPP2R1B, and TAF3 exhibits the highest endothelial cell-type specificity for strategies aimed at targeting hepatoblastoma? Identify the verified therapeutic targets for hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with endothelial-activated genes in PINNACLE. Calculate the average embedding of this overlapping set, then compute the cosine similarity between this reference embedding and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['ZNF219', 'ZNF710', 'PRIM2', 'TM9SF1', 'CRNKL1']",Hepatoblastoma,endothelial,PRIM2,"Among the genes ZNF219, ZNF710, PRIM2, TM9SF1, and CRNKL1, which one exhibits the highest specificity in endothelial cells for targeted hepatoblastoma therapy?","Among the genes ZNF219, ZNF710, PRIM2, TM9SF1, and CRNKL1, which one exhibits the highest specificity in endothelial cells for targeted hepatoblastoma therapy? Identify validated therapeutic targets for Hepatoblastoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with the endothelial-activated genes in PINNACLE. Calculate the average embedding of these overlapping genes to establish a reference, and then compute the cosine similarity between the reference and each target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['EXOC3-AS1', 'LST1', 'SPAST', 'TOP2A', 'SHANK1']",Hepatoblastoma,endothelial,TOP2A,"Which gene among EXOC3-AS1, LST1, SPAST, TOP2A, and SHANK1 exhibits the highest specificity for endothelial cells in the context of hepatoblastoma targeting?","Which gene among EXOC3-AS1, LST1, SPAST, TOP2A, and SHANK1 exhibits the highest specificity for endothelial cells in the context of hepatoblastoma targeting? Using the verified therapeutic targets for hepatoblastoma, extract their cell-type specific embeddings from PINNACLE. Identify the endothelial-activated genes in PINNACLE that overlap with these therapeutic targets to define the cell-type specific targets for hepatoblastoma. Then, compute the average embedding for these genes and calculate the cosine similarity between this average and each individual gene embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['POLD3', 'AGFG1', 'LRP2BP', 'CCKBR', 'ABCC9']",Hepatoblastoma,endothelial,POLD3,"Among the following genes—POLD3, AGFG1, LRP2BP, CCKBR, and ABCC9—which exhibits the highest specificity for endothelial cells and represents the best candidate target for hepatoblastoma therapy?","Among the following genes—POLD3, AGFG1, LRP2BP, CCKBR, and ABCC9—which exhibits the highest specificity for endothelial cells and represents the best candidate target for hepatoblastoma therapy? Identify the validated therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which endothelial-activated genes in PINNACLE overlap with these targets, designating this intersection as the cell-type–specific targets for Hepatoblastoma. Compute the average embedding for these targets, then calculate the cosine similarity between this reference and each individual target. If one gene exhibits markedly higher similarity than the rest, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['KIT', 'AKT1', 'CD33', 'GRAMD4', 'RAN']",Hepatoblastoma,endothelial,KIT,"Among the genes KIT, AKT1, CD33, GRAMD4, and RAN, which one demonstrates the highest cell-type specificity for endothelial cells in the context of targeting hepatoblastoma?","Among the genes KIT, AKT1, CD33, GRAMD4, and RAN, which one demonstrates the highest cell-type specificity for endothelial cells in the context of targeting hepatoblastoma? Using the PINNACLE framework, identify verified therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings. Next, determine the overlap between these targets and the endothelial-activated genes provided by PINNACLE, resulting in a set of cell-type–specific targets. Calculate the average embedding for these overlapping genes and compute the cosine similarity of each individual gene's embedding to this reference. If one gene demonstrates a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['DBN1', 'TUBB4B', 'ZNF83', 'MYO1B', 'CENPK']",Hepatoblastoma,endothelial,TUBB4B,"Which gene among DBN1, TUBB4B, ZNF83, MYO1B, and CENPK exhibits the highest specificity to endothelial cells for potential therapeutic targeting in hepatoblastoma?","Which gene among DBN1, TUBB4B, ZNF83, MYO1B, and CENPK exhibits the highest specificity to endothelial cells for potential therapeutic targeting in hepatoblastoma? Identify validated therapeutic targets for hepatoblastoma and obtain their cell-type–specific embeddings from the PINNACLE dataset. Next, determine the intersection between these targets and the endothelial-activated genes in PINNACLE to define the cell-type–specific target set for hepatoblastoma. Compute the average embedding for this subset and then calculate the cosine similarity between this average and each individual target embedding. Finally, if one gene shows substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TXN', 'MLF2', 'PRIM1', 'CLSTN1', 'KDM2A']",Hepatoblastoma,endothelial,PRIM1,"Among TXN, MLF2, PRIM1, CLSTN1, and KDM2A, which gene exhibits the highest endothelial cell-specific expression for targeting Hepatoblastoma?","Among TXN, MLF2, PRIM1, CLSTN1, and KDM2A, which gene exhibits the highest endothelial cell-specific expression for targeting Hepatoblastoma? Identify validated therapeutic targets for Hepatoblastoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with the endothelial-activated genes in PINNACLE to define cell-type–specific targets. Compute the average embedding for this overlapping set as a reference, then calculate the cosine similarity between this reference and each individual target. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NTRK1', 'RALGAPA2', 'TOP1', 'ZNF627', 'TELO2']",Hepatoblastoma,endothelial,TOP1,"Which gene among NTRK1, RALGAPA2, TOP1, ZNF627, and TELO2 exhibits the highest specificity in endothelial cells for targeting hepatoblastoma?","Which gene among NTRK1, RALGAPA2, TOP1, ZNF627, and TELO2 exhibits the highest specificity in endothelial cells for targeting hepatoblastoma? Identify the validated therapeutic targets for Hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE database. Determine which of these targets overlap with the set of endothelial-activated genes in PINNACLE to define the cell-type–specific therapeutic targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this average and each individual target embedding. If one gene shows a distinctly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
