candidate_genes,disease,celltype,y,user_question,full_query
"['TMEM62', 'CYFIP1', 'NFKBIE', 'BPGM', 'RCN1']",Sjogren syndrome,acinar cell of salivary gland,RCN1,"Which gene among TMEM62, CYFIP1, NFKBIE, BPGM, and RCN1 exhibits the highest cell-type-specific expression in salivary gland acinar cells for targeting Sjögren syndrome?","Which gene among TMEM62, CYFIP1, NFKBIE, BPGM, and RCN1 exhibits the highest cell-type-specific expression in salivary gland acinar cells for targeting Sjögren syndrome? Identify the verified therapeutic targets for Sjogren syndrome and extract their cell-type–specific embeddings from the PINNACLE resource. Next, determine the overlap between these targets and the acinar cell–activated gene set from the salivary gland available in PINNACLE. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each individual target embedding. If a single gene demonstrates significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MIF', 'NPM3', 'FAM199X', 'ZNF337', 'ANKZF1']",Sjogren syndrome,acinar cell of salivary gland,MIF,"Which gene among MIF, NPM3, FAM199X, ZNF337, and ANKZF1 displays the highest specificity for acinar cells in the salivary gland, making it the most promising target for Sjögren’s syndrome intervention?","Which gene among MIF, NPM3, FAM199X, ZNF337, and ANKZF1 displays the highest specificity for acinar cells in the salivary gland, making it the most promising target for Sjögren’s syndrome intervention? Identify the validated therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets are among the acinar cell–activated genes in the salivary gland as identified by PINNACLE. For the overlapping set, calculate the average embedding to serve as a reference and then compute the cosine similarity between this reference and each individual gene's embedding. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['PDK1', 'FCGRT', 'PIGL', 'ATP5MK', 'PRG4']",Sjogren syndrome,acinar cell of salivary gland,FCGRT,"Among the genes PDK1, FCGRT, PIGL, ATP5MK, and PRG4, which one exhibits the greatest cell-type specificity in salivary gland acinar cells, and thus represents the most promising candidate for targeting in Sjögren syndrome?","Among the genes PDK1, FCGRT, PIGL, ATP5MK, and PRG4, which one exhibits the greatest cell-type specificity in salivary gland acinar cells, and thus represents the most promising candidate for targeting in Sjögren syndrome? Identify the verified therapeutic targets for Sjögren syndrome and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which acinar cell–activated genes in the salivary gland overlap with these targets to define the cell-type–specific targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this average and each individual target’s embedding. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['B3GNT2', 'ECHDC2', 'CD40', 'NEURL3', 'CDC20B']",Sjogren syndrome,acinar cell of salivary gland,CD40,"Which gene—B3GNT2, ECHDC2, CD40, NEURL3, or CDC20B—exhibits the highest specificity for salivary gland acinar cells, making it the most promising candidate for targeted intervention in Sjögren's syndrome?","Which gene—B3GNT2, ECHDC2, CD40, NEURL3, or CDC20B—exhibits the highest specificity for salivary gland acinar cells, making it the most promising candidate for targeted intervention in Sjögren's syndrome? Identify verified therapeutic targets for Sjögren syndrome and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with PINNACLE’s acinar cell–activated genes in the salivary gland. Compute the average embedding of the overlapping set as a reference profile, then calculate the cosine similarity between this reference and each individual target gene. If one gene shows notably higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['H2AC19', 'CD320', 'RRP15', 'STK40', 'JAK1']",Sjogren syndrome,acinar cell of salivary gland,JAK1,"Which gene among H2AC19, CD320, RRP15, STK40, and JAK1 exhibits the highest cell-type specificity in salivary gland acinar cells for targeted intervention in Sjögren’s syndrome?","Which gene among H2AC19, CD320, RRP15, STK40, and JAK1 exhibits the highest cell-type specificity in salivary gland acinar cells for targeted intervention in Sjögren’s syndrome? Identify the verified therapeutic targets for Sjogren syndrome and obtain their cell-type–specific embeddings from the PINNACLE database. Next, focus on the acinar cells of the salivary gland by extracting the activated genes from PINNACLE and identify the overlap between these genes and the verified therapeutic targets, forming the cell-type–specific target set for Sjogren syndrome. Compute the average embedding of this overlapping set and then calculate the cosine similarity between this reference vector and each individual target's embedding. If a single gene shows significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['RPS18', 'HLA-DPA1', 'SH2D4A', 'SH3BGRL', 'DTX4']",Sjogren syndrome,acinar cell of salivary gland,HLA-DPA1,"Among the genes RPS18, HLA-DPA1, SH2D4A, SH3BGRL, and DTX4, which one demonstrates the highest specificity for acinar cells in the salivary gland, making it the best candidate for targeted intervention in Sjögren's syndrome?","Among the genes RPS18, HLA-DPA1, SH2D4A, SH3BGRL, and DTX4, which one demonstrates the highest specificity for acinar cells in the salivary gland, making it the best candidate for targeted intervention in Sjögren's syndrome? Identify the verified therapeutic targets for Sjögren syndrome and obtain their cell-type specific embeddings from PINNACLE. Next, intersect these targets with the acinar cell-activated genes in the salivary gland (as reported in PINNACLE) to define the cell-type specific targets. Compute the average embedding of this intersecting set to serve as a reference, and then measure the cosine similarity between this average and each individual gene’s embedding. If one gene demonstrates a substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['LRP3', 'TMEM65', 'TYMSOS', 'FKBP1A', 'IDH3B']",Sjogren syndrome,acinar cell of salivary gland,FKBP1A,"Which gene among LRP3, TMEM65, TYMSOS, FKBP1A, and IDH3B exhibits the highest cell-type specificity within salivary gland acinar cells, making it the most promising candidate for targeting Sjogren syndrome?","Which gene among LRP3, TMEM65, TYMSOS, FKBP1A, and IDH3B exhibits the highest cell-type specificity within salivary gland acinar cells, making it the most promising candidate for targeting Sjogren syndrome? Using verified therapeutic targets for Sjogren syndrome, retrieve their cell-type–specific embeddings from PINNACLE. Next, identify which acinar cell–activated salivary gland genes overlap with these targets to establish a set of cell-type–specific therapeutic targets. Calculate the average embedding for this overlap set, then determine the cosine similarity between this reference embedding and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NCAPG', 'SNX19', 'PPIA', 'EPGN', 'NAA35']",Sjogren syndrome,acinar cell of salivary gland,PPIA,"Among the genes NCAPG, SNX19, PPIA, EPGN, and NAA35, which one exhibits the highest acinar cell-specific expression in the salivary gland for targeting Sjögren's syndrome?","Among the genes NCAPG, SNX19, PPIA, EPGN, and NAA35, which one exhibits the highest acinar cell-specific expression in the salivary gland for targeting Sjögren's syndrome? Identify the validated therapeutic targets for Sjögren syndrome and extract their cell-type–specific embeddings from the PINNACLE dataset. Then, determine which of these targets overlap with genes activated in salivary gland acinar cells. Compute the average embedding for the overlapping set and calculate the cosine similarity between this reference and each individual target's embedding. If one gene exhibits a markedly higher similarity score than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ITSN1', 'ENDOV', 'SMARCC2', 'UPK1B', 'ZNF534']",Sjogren syndrome,acinar cell of salivary gland,SMARCC2,"Among the genes ITSN1, ENDOV, SMARCC2, UPK1B, and ZNF534, which one exhibits the highest cell-type specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjogren syndrome?","Among the genes ITSN1, ENDOV, SMARCC2, UPK1B, and ZNF534, which one exhibits the highest cell-type specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjogren syndrome? Which verified therapeutic targets for Sjogren syndrome have established cell-type–specific embeddings in the PINNACLE database? Specifically, for acinar cells of the salivary gland, identify the subset of genes activated in these cells that overlaps with these therapeutic targets. For this overlapping set, compute the average embedding and determine the cosine similarity between this average and each individual target’s embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale supporting its biological relevance."
"['RTN4IP1', 'NPFF', 'EPHX4', 'GCM1', 'HLA-DPB1']",Sjogren syndrome,acinar cell of salivary gland,HLA-DPB1,"Among RTN4IP1, NPFF, EPHX4, GCM1, and HLA-DPB1, which gene exhibits the highest specificity for acinar cells in the salivary gland, making it the most promising candidate for targeting Sjögren's syndrome?","Among RTN4IP1, NPFF, EPHX4, GCM1, and HLA-DPB1, which gene exhibits the highest specificity for acinar cells in the salivary gland, making it the most promising candidate for targeting Sjögren's syndrome? Identify the validated therapeutic targets for Sjögren's syndrome and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with acinar cell–activated genes in the salivary gland from PINNACLE. For this overlapping set, compute the average embedding to serve as a reference, then calculate the cosine similarity between this reference and each individual target's embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TPRA1', 'OR52E6', 'LAD1', 'SGO2', 'CTSS']",Sjogren syndrome,acinar cell of salivary gland,CTSS,"Among the genes TPRA1, OR52E6, LAD1, SGO2, and CTSS, which exhibits the most specific expression in salivary gland acinar cells, making it the best candidate for targeting in Sjögren's syndrome research?","Among the genes TPRA1, OR52E6, LAD1, SGO2, and CTSS, which exhibits the most specific expression in salivary gland acinar cells, making it the best candidate for targeting in Sjögren's syndrome research? Identify the validated therapeutic targets for Sjogren syndrome and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which acinar cell–activated salivary gland genes in PINNACLE overlap with these targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this reference embedding and each individual target's embedding. If one gene shows a substantially higher similarity compared to the others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['CNNM2', 'UPP2', 'MRPS35', 'CENPA', 'HLA-DRA']",Sjogren syndrome,acinar cell of salivary gland,HLA-DRA,"Among the following genes—CNNM2, UPP2, MRPS35, CENPA, and HLA-DRA—which one exhibits the highest cell-type specificity in salivary gland acinar cells and represents the best candidate target for Sjogren syndrome?","Among the following genes—CNNM2, UPP2, MRPS35, CENPA, and HLA-DRA—which one exhibits the highest cell-type specificity in salivary gland acinar cells and represents the best candidate target for Sjogren syndrome? Identify the verified therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which genes activated in salivary gland acinar cells overlap with these targets. For the overlapping genes, compute the average embedding to serve as a reference and calculate the cosine similarity between this reference and each individual gene embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance in Sjögren syndrome."
