candidate_genes,disease,celltype,y,user_question,full_query
"['BBOX1', 'CCDC127', 'NDUFAF3', 'RNASE1', 'INTS4']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFAF3,"Which gene—BBOX1, CCDC127, NDUFAF3, RNASE1, or INTS4—shows the highest cell-type specificity in CD4-positive alpha‑beta cytotoxic T cells for targeting follicular lymphoma?","Which gene—BBOX1, CCDC127, NDUFAF3, RNASE1, or INTS4—shows the highest cell-type specificity in CD4-positive alpha‑beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma within the PINNACLE dataset and retrieve their corresponding cell-type–specific embeddings. Next, determine the intersection between these targets and the cd4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE. For the overlapping set, calculate the average embedding and then compute the cosine similarity between this reference embedding and each individual target. Finally, if one gene displays a significantly higher cosine similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MAMDC2', 'TSR1', 'TYK2', 'AVEN', 'RIPOR3']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TYK2,"Among MAMDC2, TSR1, TYK2, AVEN, and RIPOR3, which gene exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma?","Among MAMDC2, TSR1, TYK2, AVEN, and RIPOR3, which gene exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of the CD4-positive, alpha-beta cytotoxic T cell–activated genes in PINNACLE overlap with these targets to define a set of cell-type–specific targets for follicular lymphoma. Compute the average embedding of this set as a reference and calculate the cosine similarity between the reference and each individual target embedding. If one gene exhibits a substantially higher cosine similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ERCC2', 'DIMT1', 'SELENOH', 'CD38', 'CASP8AP2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,CD38,"Among ERCC2, DIMT1, SELENOH, CD38, and CASP8AP2, which gene exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Among ERCC2, DIMT1, SELENOH, CD38, and CASP8AP2, which gene exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with the cd4-positive alpha-beta cytotoxic T cell activation genes in PINNACLE. Compute the average embedding of the overlapping targets, then calculate the cosine similarity between this reference embedding and each individual target embedding. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate, and provide a concise, evidence-based rationale for its biological relevance."
"['SAT1', 'ISG20', 'CYFIP2', 'PRPF18', 'MT-ND4L']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,MT-ND4L,"Among the genes SAT1, ISG20, CYFIP2, PRPF18, and MT-ND4L, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeting follicular lymphoma?","Among the genes SAT1, ISG20, CYFIP2, PRPF18, and MT-ND4L, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeting follicular lymphoma? Identify the experimentally validated therapeutic targets for follicular lymphoma and obtain their cell type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the genes activated in CD4-positive, alpha-beta cytotoxic T cells in PINNACLE, thereby defining a subset of cell type–specific targets for follicular lymphoma. Compute the average embedding for these overlapping genes as a reference, and then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['TRIM16', 'CDC42EP4', 'ZNF703', 'NRP2', 'NDUFV2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFV2,"Which gene among TRIM16, CDC42EP4, ZNF703, NRP2, and NDUFV2 exhibits the highest specificity in cd4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among TRIM16, CDC42EP4, ZNF703, NRP2, and NDUFV2 exhibits the highest specificity in cd4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Using PINNACLE data, first identify the validated therapeutic targets for follicular lymphoma and retrieve their cell-type-specific embeddings. Then, from the CD4-positive, alpha-beta cytotoxic T cell population, determine which activated genes overlap with these targets. Calculate the average embedding for this overlapping set as a reference and compute the cosine similarity between this reference and each individual target. If one gene exhibits substantially higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ELOC', 'KCNH1', 'SLC16A3', 'NDUFB4', 'SMC3']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFB4,"Which gene among ELOC, KCNH1, SLC16A3, NDUFB4, and SMC3 demonstrates the most specific expression in CD4-positive alpha-beta cytotoxic T cells, thereby representing the single best candidate for targeted follicular lymphoma therapy?","Which gene among ELOC, KCNH1, SLC16A3, NDUFB4, and SMC3 demonstrates the most specific expression in CD4-positive alpha-beta cytotoxic T cells, thereby representing the single best candidate for targeted follicular lymphoma therapy? Using PINNACLE, first identify the verified therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings. Then, determine which of these targets overlap with the genes activated in cd4-positive alpha-beta cytotoxic T cells. Compute the average embedding for the overlapping genes and calculate the cosine similarity between this average and each individual target embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['UPF3B', 'HLA-DRB1', 'RPL13AP17', 'GJB4', 'RABAC1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,HLA-DRB1,"Among the genes UPF3B, HLA-DRB1, RPL13AP17, GJB4, and RABAC1, which one exhibits the highest specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Among the genes UPF3B, HLA-DRB1, RPL13AP17, GJB4, and RABAC1, which one exhibits the highest specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the gene set activated in CD4-positive alpha-beta cytotoxic T cells in PINNACLE. Calculate the average embedding of the overlapping genes to serve as a reference, then compute the cosine similarity between this reference vector and each individual target’s embedding. Finally, if a single gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['PRTN3', 'COL6A2', 'CD3G', 'MYOF', 'TBX22']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,CD3G,"Among the genes PRTN3, COL6A2, CD3G, MYOF, and TBX22, which one exhibits the highest specificity for CD4-positive alpha-beta cytotoxic T cells in the context of targeting follicular lymphoma?","Among the genes PRTN3, COL6A2, CD3G, MYOF, and TBX22, which one exhibits the highest specificity for CD4-positive alpha-beta cytotoxic T cells in the context of targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the CD4-positive alpha-beta cytotoxic T cell–activated genes in PINNACLE. Using the overlapping set, compute the average embedding as a reference and calculate the cosine similarity between this reference and each individual target’s embedding. If a gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['RNF123', 'CORO1C', 'DLG1', 'TNFRSF4', 'FAM110A']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TNFRSF4,"Among the genes RNF123, CORO1C, DLG1, TNFRSF4, and FAM110A, which shows the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma?","Among the genes RNF123, CORO1C, DLG1, TNFRSF4, and FAM110A, which shows the highest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from the PINNACLE dataset. Next, from the genes activated in cd4-positive alpha-beta cytotoxic T cells in PINNACLE, determine the overlap with the follicular lymphoma targets to form a cell-type–specific target set. Calculate the average embedding of these overlapping genes, and then compute the cosine similarity between this average and each individual target gene’s embedding. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['DENND2C', 'STYX', 'ARHGAP18', 'KIAA0319', 'NDUFC2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFC2,"Among DENND2C, STYX, ARHGAP18, KIAA0319, and NDUFC2, which gene exhibits the greatest cell-type specificity in CD4-positive alpha‐beta cytotoxic T cells for targeting follicular lymphoma?","Among DENND2C, STYX, ARHGAP18, KIAA0319, and NDUFC2, which gene exhibits the greatest cell-type specificity in CD4-positive alpha‐beta cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and retrieve their cell‐type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the set of activated genes from CD4-positive alpha-beta cytotoxic T cells in PINNACLE, as these represent the cell-type–specific targets for follicular lymphoma. Compute the average embedding of the overlapping genes to serve as a reference, then calculate the cosine similarity between this reference and each individual target gene. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
