candidate_genes,disease,celltype,y,user_question,full_query
"['GRK2', 'MUC12', 'PTH2R', 'TOP2A', 'CFB']",Hepatoblastoma,endothelial,TOP2A,"Among the genes GRK2, MUC12, PTH2R, TOP2A, and CFB, which one exhibits the highest specificity for endothelial cells, making it the most promising candidate for targeted hepatoblastoma therapy?","Among the genes GRK2, MUC12, PTH2R, TOP2A, and CFB, which one exhibits the highest specificity for endothelial cells, making it the most promising candidate for targeted hepatoblastoma therapy? Identify validated therapeutic targets for hepatoblastoma and obtain their corresponding cell-type-specific embeddings from the PINNACLE database. Next, determine which of these targets overlap with the endothelial-activated genes documented in PINNACLE. For the overlapping genes, calculate an average embedding to serve as a reference vector and compute the cosine similarities between this reference and the embedding of each gene. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ASB16-AS1', 'LGMN', 'ARVCF', 'CDC42BPA', 'TYMS']",Hepatoblastoma,endothelial,TYMS,"Among the candidate genes ASB16-AS1, LGMN, ARVCF, CDC42BPA, and TYMS, which one shows the highest endothelial cell-type specificity for potential use in hepatoblastoma-targeted therapy?","Among the candidate genes ASB16-AS1, LGMN, ARVCF, CDC42BPA, and TYMS, which one shows the highest endothelial cell-type specificity for potential use in hepatoblastoma-targeted therapy? Identify the verified therapeutic targets for Hepatoblastoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the endothelial-activated genes in PINNACLE. For the overlapping gene set, calculate the average embedding as a reference and compute the cosine similarity between this reference and each individual gene's embedding. If one gene exhibits a significantly higher similarity compared to the others, designate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['NHLH1', 'SLK', 'PRSS3', 'POLD3', 'KLF13']",Hepatoblastoma,endothelial,POLD3,"Among the genes NHLH1, SLK, PRSS3, POLD3, and KLF13, which one demonstrates the highest endothelial cell specificity for targeted hepatoblastoma therapy?","Among the genes NHLH1, SLK, PRSS3, POLD3, and KLF13, which one demonstrates the highest endothelial cell specificity for targeted hepatoblastoma therapy? Identify the validated therapeutic targets for hepatoblastoma and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the intersection between these targets and the set of endothelial-activated genes from PINNACLE, which represents the cell-type–specific targets. Compute the average embedding of this intersection as a reference point, then calculate the cosine similarity between this reference and the embedding of each individual target. If a single gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['DUSP16', 'RBMS1', 'NUDT5', 'PRIM2', 'GRAMD4']",Hepatoblastoma,endothelial,PRIM2,"Which gene among DUSP16, RBMS1, NUDT5, PRIM2, and GRAMD4 demonstrates the highest endothelial cell-type specificity for targeting Hepatoblastoma?","Which gene among DUSP16, RBMS1, NUDT5, PRIM2, and GRAMD4 demonstrates the highest endothelial cell-type specificity for targeting Hepatoblastoma? Determine the verified therapeutic targets for hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Identify which endothelial-activated genes in PINNACLE overlap with these targets to define hepatoblastoma-specific candidates. Next, compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each individual target. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['DHPS', 'MCEE', 'ANKS3', 'SSPOP', 'TUBB']",Hepatoblastoma,endothelial,TUBB,"Among the candidate genes DHPS, MCEE, ANKS3, SSPOP, and TUBB, which one exhibits the highest specificity for endothelial cells in the context of hepatoblastoma targeting?","Among the candidate genes DHPS, MCEE, ANKS3, SSPOP, and TUBB, which one exhibits the highest specificity for endothelial cells in the context of hepatoblastoma targeting? Identify the verified therapeutic gene targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which of the endothelial-activated genes in PINNACLE overlap with these targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this reference and each individual target. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance in Hepatoblastoma."
"['ZCCHC8', 'RMC1', 'TMEM33', 'POLE3', 'FDX2']",Hepatoblastoma,endothelial,POLE3,"Which gene among ZCCHC8, RMC1, TMEM33, POLE3, and FDX2 displays the highest endothelial cell-specific expression, making it the most promising target for therapeutic intervention in hepatoblastoma?","Which gene among ZCCHC8, RMC1, TMEM33, POLE3, and FDX2 displays the highest endothelial cell-specific expression, making it the most promising target for therapeutic intervention in hepatoblastoma? Identify the verified therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which endothelial-activated genes in PINNACLE overlap with these targets to define the cell-type–specific target set for Hepatoblastoma. Calculate the average embedding of this set as a reference, and then compute the cosine similarity between the reference and each individual target gene. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a brief, evidence-based explanation for its biological relevance."
"['YEATS4', 'RAB4A', 'FBXO42', 'RRM1', 'H1-6']",Hepatoblastoma,endothelial,RRM1,"Among the genes YEATS4, RAB4A, FBXO42, RRM1, and H1-6, which one shows the highest endothelial cell-specific expression relevant for targeting hepatoblastoma?","Among the genes YEATS4, RAB4A, FBXO42, RRM1, and H1-6, which one shows the highest endothelial cell-specific expression relevant for targeting hepatoblastoma? Identify the validated therapeutic targets for hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which endothelial-activated genes in PINNACLE overlap with these targets to define a cell-type–specific target set for hepatoblastoma. Compute the average embedding for this set, then calculate the cosine similarity between this average and each individual target's embedding. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['SLC25A18', 'GPR135', 'THEMIS2', 'KIT', 'GATAD1']",Hepatoblastoma,endothelial,KIT,"Which gene among SLC25A18, GPR135, THEMIS2, KIT, and GATAD1 exhibits the highest endothelial cell-specific expression for targeted hepatoblastoma therapy?","Which gene among SLC25A18, GPR135, THEMIS2, KIT, and GATAD1 exhibits the highest endothelial cell-specific expression for targeted hepatoblastoma therapy? Identify the validated therapeutic targets for hepatoblastoma and retrieve their cell-type-specific embeddings from the PINNACLE database. Next, identify which of these targets overlap with endothelial-activated genes in PINNACLE. Using this overlapping set as the cell-type-specific targets for hepatoblastoma, calculate their average embedding to serve as a reference, and then determine the cosine similarity between this reference and each individual target. If one gene demonstrates a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['DCTD', 'TUBB4B', 'FPR2', 'NEU3', 'MT1H']",Hepatoblastoma,endothelial,TUBB4B,"Among the genes DCTD, TUBB4B, FPR2, NEU3, and MT1H, which one exhibits the most specific expression in endothelial cells for targeting hepatoblastoma?","Among the genes DCTD, TUBB4B, FPR2, NEU3, and MT1H, which one exhibits the most specific expression in endothelial cells for targeting hepatoblastoma? Identify validated therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of the PINNACLE endothelial-activated genes overlap with these therapeutic targets, thereby defining the cell-type–specific targets for Hepatoblastoma. Calculate the average embedding of this overlapping set and then compute the cosine similarity between this average embedding and the embedding of each individual target gene. Lastly, if one gene exhibits a significantly higher similarity score than the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['NOS1', 'HOXD4', 'SURF6', 'KCTD11', 'KDR']",Hepatoblastoma,endothelial,KDR,"Among the genes NOS1, HOXD4, SURF6, KCTD11, and KDR, which exhibits the highest endothelial cell-type specificity for targeted hepatoblastoma therapy?","Among the genes NOS1, HOXD4, SURF6, KCTD11, and KDR, which exhibits the highest endothelial cell-type specificity for targeted hepatoblastoma therapy? Identify validated therapeutic targets for hepatoblastoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the set of endothelial-activated genes in PINNACLE to define cell-type–specific targets for hepatoblastoma. Compute the average embedding of these overlapping targets and calculate the cosine similarity between this average embedding and each individual target's embedding. If one gene exhibits a markedly higher similarity than the others, designate it as the primary candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MASTL', 'SERINC2', 'YTHDF1', 'POLE2', 'CCNH']",Hepatoblastoma,endothelial,POLE2,"Among MASTL, SERINC2, YTHDF1, POLE2, and CCNH, which gene exhibits the highest specificity for endothelial cells in the context of targeting hepatoblastoma?","Among MASTL, SERINC2, YTHDF1, POLE2, and CCNH, which gene exhibits the highest specificity for endothelial cells in the context of targeting hepatoblastoma? Identify the verified therapeutic targets for hepatoblastoma and extract their cell-type–specific embeddings from PINNACLE. Next, determine which endothelial-activated genes within PINNACLE overlap with these therapeutic targets. Compute the average embedding for this overlapping set to create a reference, and then calculate the cosine similarity between this reference and each individual target. If one gene exhibits a substantially higher similarity compared to the others, nominate it as the top candidate, providing a concise, evidence-based explanation for its biological relevance."
"['ODF2L', 'MAML3', 'POLD2', 'LSG1', 'SLC16A9']",Hepatoblastoma,endothelial,POLD2,"Among the genes ODF2L, MAML3, POLD2, LSG1, and SLC16A9, which one demonstrates the highest specificity for endothelial cells, making it the most promising candidate for targeted hepatoblastoma therapy?","Among the genes ODF2L, MAML3, POLD2, LSG1, and SLC16A9, which one demonstrates the highest specificity for endothelial cells, making it the most promising candidate for targeted hepatoblastoma therapy? Identify the verified therapeutic targets for Hepatoblastoma and extract their corresponding cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of these targets overlap with the endothelial-activated genes indicated in PINNACLE. For the overlapping set, compute the average embedding as a reference metric and calculate the cosine similarity between this average and each individual target’s embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
