candidate_genes,disease,celltype,y,user_question,full_query
"['GNAT2', 'TTLL10-AS1', 'CORO1A', 'EAF1-AS1', 'AKAP17A_ENSG00000197976']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CORO1A,"Which gene—GNAT2, TTLL10-AS1, CORO1A, EAF1-AS1, or AKAP17A (ENSG00000197976)—displays the highest cell-type specificity in effector memory CD4⁺ αβ T cells for targeting rheumatoid arthritis?","Which gene—GNAT2, TTLL10-AS1, CORO1A, EAF1-AS1, or AKAP17A (ENSG00000197976)—displays the highest cell-type specificity in effector memory CD4⁺ αβ T cells for targeting rheumatoid arthritis? Identify the verified therapeutic targets for rheumatoid arthritis using PINNACLE and obtain their corresponding cell-type–specific embeddings. Next, determine which genes from the effector memory CD4+ alpha beta T cell activation signature in PINNACLE overlap with these targets to define a set of cell-type–specific RA targets. Compute the average embedding of this set as a reference point, then calculate the cosine similarity between this reference and each individual gene embedding. If one gene displays a significantly higher similarity than the others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['E2F5', 'HDDC2', 'CD2', 'GRIN1', 'H4C5']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CD2,"Which gene among E2F5, HDDC2, CD2, GRIN1, and H4C5 exhibits the highest cell-type specificity in effector memory CD4⁺ αβ T cells, making it the most promising candidate for targeted rheumatoid arthritis therapy?","Which gene among E2F5, HDDC2, CD2, GRIN1, and H4C5 exhibits the highest cell-type specificity in effector memory CD4⁺ αβ T cells, making it the most promising candidate for targeted rheumatoid arthritis therapy? Identify the verified therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the effector memory CD4+ αβ T cell–activated genes in PINNACLE. Compute the average embedding of this overlapping set, then calculate the cosine similarity between the average and each individual target embedding. If one gene shows a markedly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['S100A13', 'ECRG4', 'CNBP', 'HLA-C', 'PPOX']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,HLA-C,"Which gene among S100A13, ECRG4, CNBP, HLA-C, and PPOX exhibits the highest specificity in effector memory CD4+ alpha-beta T cells for targeting rheumatoid arthritis?","Which gene among S100A13, ECRG4, CNBP, HLA-C, and PPOX exhibits the highest specificity in effector memory CD4+ alpha-beta T cells for targeting rheumatoid arthritis? Determine the validated therapeutic targets for rheumatoid arthritis and obtain their corresponding cell-type–specific embeddings from the PINNACLE database. Next, identify the overlapping genes between these targets and the list of effector memory CD4+ αβ T cell-activated genes in PINNACLE to define a set of cell-type–specific RA targets. Calculate the average embedding for this overlapping set to serve as a reference, then compute the cosine similarity between this reference and each individual target’s embedding. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NAA30', 'PPM1G', 'HLA-A', 'SMIM2-AS1', 'LINC02894']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,HLA-A,"Which gene among NAA30, PPM1G, HLA-A, SMIM2-AS1, and LINC02894 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells relevant to rheumatoid arthritis therapy?","Which gene among NAA30, PPM1G, HLA-A, SMIM2-AS1, and LINC02894 exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells relevant to rheumatoid arthritis therapy? Identify clinically validated therapeutic targets for rheumatoid arthritis and extract their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the effector memory CD4+ αβ T cell-activated genes in PINNACLE. Compute the average embedding for this overlapping gene set to serve as a reference, then calculate the cosine similarity between this reference and each individual target embedding. If one gene shows markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['VAC14', 'FLVCR1', 'FOXN3', 'RB1CC1', 'RPL3']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,RPL3,"Among the genes VAC14, FLVCR1, FOXN3, RB1CC1, and RPL3, which one exhibits the highest cell-type-specific expression in effector memory CD4+ αβ T cells, thereby representing the most promising target for rheumatoid arthritis therapies?","Among the genes VAC14, FLVCR1, FOXN3, RB1CC1, and RPL3, which one exhibits the highest cell-type-specific expression in effector memory CD4+ αβ T cells, thereby representing the most promising target for rheumatoid arthritis therapies? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their cell-type-specific embeddings from PINNACLE. Next, identify the overlap between these targets and the effector memory CD4+ αβ T cell-activated genes in PINNACLE to define the cell-type-specific targets. Calculate the average embedding for this overlapping set and then determine the cosine similarity of each target’s embedding to this average. Finally, if one gene exhibits significantly higher similarity compared to the others, designate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['UBL4A', 'CD52', 'PAQR8', 'CFAP44', 'GABRB2']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CD52,"Which gene—UBL4A, CD52, PAQR8, CFAP44, or GABRB2—exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for rheumatoid arthritis targeting?","Which gene—UBL4A, CD52, PAQR8, CFAP44, or GABRB2—exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for rheumatoid arthritis targeting? Identify the validated therapeutic targets for rheumatoid arthritis in PINNACLE and extract their cell-type–specific embeddings. Next, identify the overlap between these targets and the set of effector memory CD4+ αβ T cell-activated genes within PINNACLE. Calculate the average embedding of this overlapping group to serve as a reference, then compute the cosine similarity between this reference and each individual target embedding. If one gene exhibits markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['C1RL-AS1', 'LTB', 'DPH3', 'ABHD13', 'TDRKH']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,LTB,"Among the genes C1RL-AS1, LTB, DPH3, ABHD13, and TDRKH, which one exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for potential targeting in rheumatoid arthritis?","Among the genes C1RL-AS1, LTB, DPH3, ABHD13, and TDRKH, which one exhibits the highest cell-type specificity in effector memory CD4+ αβ T cells for potential targeting in rheumatoid arthritis? Identify validated therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific embeddings from PINNACLE. Then, determine the overlap between these targets and the effector memory CD4+ alpha-beta T cell–activated genes in PINNACLE. For the overlapping set, compute the average embedding as a reference and calculate the cosine similarity of each individual target to this reference. Finally, if one gene exhibits a substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TANC1', 'SIAH2', 'CD3E', 'TRMT10C', 'CCNT1']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,CD3E,"Which gene among TANC1, SIAH2, CD3E, TRMT10C, and CCNT1 exhibits the highest specific expression in effector memory CD4+ αβ T cells, making it a prime candidate for targeted rheumatoid arthritis therapy?","Which gene among TANC1, SIAH2, CD3E, TRMT10C, and CCNT1 exhibits the highest specific expression in effector memory CD4+ αβ T cells, making it a prime candidate for targeted rheumatoid arthritis therapy? Identify the verified therapeutic targets for rheumatoid arthritis and obtain their cell-type-specific embeddings from PINNACLE. Next, determine the overlap between these targets and the effector memory CD4+ alpha beta T cell–activated genes in PINNACLE; this overlapping gene set represents the cell-type-specific targets for rheumatoid arthritis. Calculate the average embedding for this gene set, then determine the cosine similarity between the average embedding and that of each individual target. If one gene exhibits a distinctly higher similarity than the others, nominate it as the top candidate and provide a succinct, evidence-based rationale for its biological relevance."
"['BLACE', 'AMIGO3', 'OR2AG2', 'JAK3', 'FAM41C']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,JAK3,"Which gene among BLACE, AMIGO3, OR2AG2, JAK3, and FAM41C shows the highest specificity in effector memory CD4+ αβ T cells, making it the prime candidate for targeted rheumatoid arthritis therapy?","Which gene among BLACE, AMIGO3, OR2AG2, JAK3, and FAM41C shows the highest specificity in effector memory CD4+ αβ T cells, making it the prime candidate for targeted rheumatoid arthritis therapy? Identify validated therapeutic targets for rheumatoid arthritis and retrieve their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the set of genes activated in effector memory CD4+ alpha-beta T cells in PINNACLE. Compute the average embedding for this overlapping set to serve as a reference, then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits markedly higher similarity than all others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['PCCA', 'IAPP', 'RPLP1', 'MALSU1', 'ME3']",rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,RPLP1,"Which gene among PCCA, IAPP, RPLP1, MALSU1, and ME3 exhibits the highest cell-type specificity within effector memory CD4+ αβ T cells relevant to rheumatoid arthritis research?","Which gene among PCCA, IAPP, RPLP1, MALSU1, and ME3 exhibits the highest cell-type specificity within effector memory CD4+ αβ T cells relevant to rheumatoid arthritis research? Identify the validated therapeutic targets for rheumatoid arthritis and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which effector memory CD4+ alpha–beta T cell-activated genes in PINNACLE overlap with these targets to define the cell-type–specific targets for rheumatoid arthritis. Calculate the average embedding of this overlapping set as a reference, then compute the cosine similarity between this reference and each individual target gene. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
