candidate_genes,disease,celltype,y,user_question,full_query
"['CNGA1', 'CALR3', 'PARP4', 'TBC1D25', 'HDAC2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,HDAC2,"Which gene—CNGA1, CALR3, PARP4, TBC1D25, or HDAC2—exhibits the highest cell-type specificity for CD4-positive alpha-beta cytotoxic T lymphocytes, making it the most promising target for follicular lymphoma therapy?","Which gene—CNGA1, CALR3, PARP4, TBC1D25, or HDAC2—exhibits the highest cell-type specificity for CD4-positive alpha-beta cytotoxic T lymphocytes, making it the most promising target for follicular lymphoma therapy? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type-specific gene embeddings from the PINNACLE database. Next, determine the intersection between these targets and the set of activated genes from CD4-positive alpha-beta cytotoxic T cells in PINNACLE. Calculate the mean embedding for the overlapping set, then compute the cosine similarity between this averaged embedding and each individual target’s embedding. If one gene shows a significantly higher similarity than the others, nominate it as the primary candidate and provide a concise, evidence-based rationale for its biological relevance."
"['HDAC7', 'KRTAP5-1', 'RETREG2', 'ST8SIA3', 'BCOR']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,HDAC7,"Among HDAC7, KRTAP5-1, RETREG2, ST8SIA3, and BCOR, which gene shows the highest cell-type specificity in CD4-positive αβ cytotoxic T cells as a potential target for follicular lymphoma?","Among HDAC7, KRTAP5-1, RETREG2, ST8SIA3, and BCOR, which gene shows the highest cell-type specificity in CD4-positive αβ cytotoxic T cells as a potential target for follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the genes activated in CD4-positive alpha-beta cytotoxic T cells in PINNACLE, considering this overlapping set as the follicular lymphoma cell-type–specific targets. Calculate the average embedding of these genes as a reference, then compute the cosine similarity between this reference and each target. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MLH3', 'ECH1', 'FKBP2', 'NDUFS6', 'PSMB2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFS6,"Which gene among MLH3, ECH1, FKBP2, NDUFS6, and PSMB2 displays the highest cell-type specificity within CD4-positive, alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among MLH3, ECH1, FKBP2, NDUFS6, and PSMB2 displays the highest cell-type specificity within CD4-positive, alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of the CD4-positive, alpha-beta cytotoxic T cell activation genes in PINNACLE overlap with these targets, thereby defining the cell-type–specific targets for follicular lymphoma. Calculate the average embedding for this overlapping set, and then compute the cosine similarity between this average embedding and the embeddings of each individual target gene. Finally, if one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['SEC11A', 'TOP2B', 'STAG1', 'CTDSPL', 'PRF1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TOP2B,"Among SEC11A, TOP2B, STAG1, CTDSPL, and PRF1, which gene exhibits the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Among SEC11A, TOP2B, STAG1, CTDSPL, and PRF1, which gene exhibits the greatest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and extract their corresponding cell-type–specific embeddings from PINNACLE. Next, determine which genes associated with activated CD4-positive αβ cytotoxic T cells overlap with these targets. Calculate the average embedding for the overlapping genes and then compute the cosine similarity between this reference and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TMEM9', 'NACA4P', 'ZNF649', 'CDK4', 'PIWIL1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,CDK4,"Among the genes TMEM9, NACA4P, ZNF649, CDK4, and PIWIL1, which one exhibits the highest cell-type specificity in CD4-positive αβ T cells for potential targeting of follicular lymphoma?","Among the genes TMEM9, NACA4P, ZNF649, CDK4, and PIWIL1, which one exhibits the highest cell-type specificity in CD4-positive αβ T cells for potential targeting of follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of the CD4-positive alpha-beta cytotoxic T cell–activated genes in PINNACLE overlap with these targets. Calculate the average embedding of this overlapping gene set, then compute the cosine similarity between this reference and each individual gene embedding. Finally, if one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['BLVRA', 'CDK11B', 'STK3', 'LCK', 'CBLIF']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,LCK,"Among the genes BLVRA, CDK11B, STK3, LCK, and CBLIF, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Among the genes BLVRA, CDK11B, STK3, LCK, and CBLIF, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and retrieve their corresponding cell-type–specific embeddings from PINNACLE. Determine which of these targets overlap with genes expressed in activated cd4-positive alpha-beta cytotoxic T cells. Using the overlapping gene set, compute a reference average embedding and calculate the cosine similarity between this reference and each individual gene embedding. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its relevance to follicular lymphoma."
"['MDM2', 'RPS6KA1', 'C2orf83', 'PTPRR', 'TMEM167A']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,MDM2,"Among the genes MDM2, RPS6KA1, C2orf83, PTPRR, and TMEM167A, which displays the highest cell-type specificity in CD4-positive αβ cytotoxic T cells in the context of targeting follicular lymphoma?","Among the genes MDM2, RPS6KA1, C2orf83, PTPRR, and TMEM167A, which displays the highest cell-type specificity in CD4-positive αβ cytotoxic T cells in the context of targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which genes from the PINNACLE dataset associated with activated CD4-positive alpha-beta cytotoxic T cells overlap with these targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this average and each individual target embedding. Finally, identify the gene with a markedly higher similarity as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NDUFA8', 'PPP2R3C', 'HCLS1', 'ATOH1', 'CD151']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFA8,"Which gene among NDUFA8, PPP2R3C, HCLS1, ATOH1, and CD151 exhibits the highest cell-type specificity in CD4-positive alpha-beta T cells for targeting follicular lymphoma?","Which gene among NDUFA8, PPP2R3C, HCLS1, ATOH1, and CD151 exhibits the highest cell-type specificity in CD4-positive alpha-beta T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine which of these targets overlap with genes activated in CD4-positive, alpha-beta cytotoxic T cells to define the cell-type–specific target set for follicular lymphoma. Compute the average embedding for this set, then calculate the cosine similarity between the average and each individual gene embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NRBP1', 'LEPR', 'TUBB4B', 'TSSK1B', 'VPREB3']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TUBB4B,"Which gene—NRBP1, LEPR, TUBB4B, TSSK1B, or VPREB3—exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene—NRBP1, LEPR, TUBB4B, TSSK1B, or VPREB3—exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the validated therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the CD4-positive alpha-beta cytotoxic T cell-activated genes available in PINNACLE. Compute the average embedding for the overlapping genes, then calculate the cosine similarity between this averaged embedding and each individual target embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the primary candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ANKHD1', 'RAD54B', 'CMC2', 'PTH', 'NDUFA12']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFA12,"Which gene among ANKHD1, RAD54B, CMC2, PTH, and NDUFA12 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among ANKHD1, RAD54B, CMC2, PTH, and NDUFA12 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type-specific embeddings from PINNACLE. Next, determine the overlap between these targets and the CD4-positive alpha-beta cytotoxic T cell activation gene set in PINNACLE. For the overlapping genes, compute the average embedding as a reference profile and calculate the cosine similarity between each gene’s embedding and this reference. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
