candidate_genes,disease,celltype,y,user_question,full_query
"['RPS26', 'AFF4', 'TMEM97', 'DNAJC6', 'ZNF208']",type 1 diabetes mellitus,pancreatic epsilon cell,RPS26,"Among the genes RPS26, AFF4, TMEM97, DNAJC6, and ZNF208, which one shows the highest cell-type specificity in pancreatic epsilon cells in relation to type 1 diabetes mellitus?","Among the genes RPS26, AFF4, TMEM97, DNAJC6, and ZNF208, which one shows the highest cell-type specificity in pancreatic epsilon cells in relation to type 1 diabetes mellitus? Identify verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the pancreatic epsilon cell-activated genes in PINNACLE; this subset represents the cell-type–specific targets. Compute the average embedding for this overlapping set and calculate the cosine similarity between this reference embedding and each individual target embedding. If one gene exhibits substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['INS', 'RAB3B', 'CSRNP3', 'ZNF326', 'DUSP28']",type 1 diabetes mellitus,pancreatic epsilon cell,INS,"Which gene among INS, RAB3B, CSRNP3, ZNF326, and DUSP28 exhibits the highest specificity in pancreatic epsilon cells, making it the most promising candidate for targeting type 1 diabetes mellitus?","Which gene among INS, RAB3B, CSRNP3, ZNF326, and DUSP28 exhibits the highest specificity in pancreatic epsilon cells, making it the most promising candidate for targeting type 1 diabetes mellitus? Using the PINNACLE platform, identify all verified therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type–specific embeddings. Next, determine which of these targets overlap with genes activated in pancreatic epsilon cells. Compute the average embedding for this overlapping set and calculate the cosine similarity between the average and each individual target. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['EBLN2', 'SPAG16-DT', 'HSPA12B', 'EMD', 'COMMD6']",type 1 diabetes mellitus,pancreatic epsilon cell,COMMD6,"Which gene among EBLN2, SPAG16-DT, HSPA12B, EMD, and COMMD6 exhibits the greatest cell-type specific expression in pancreatic epsilon cells, making it the most promising candidate for targeted intervention in type 1 diabetes mellitus?","Which gene among EBLN2, SPAG16-DT, HSPA12B, EMD, and COMMD6 exhibits the greatest cell-type specific expression in pancreatic epsilon cells, making it the most promising candidate for targeted intervention in type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which pancreatic epsilon cell-activated genes in PINNACLE overlap with these targets, thereby defining the cell-type–specific targets for the disease. Calculate the average embedding of this overlapping set and then compute the cosine similarity between this average and each individual target's embedding. If one gene exhibits a notably higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale outlining its biological relevance."
"['NDUFA11', 'CDKN2C', 'PRIMPOL', 'COL12A1', 'LINC02478']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA11,"Among NDUFA11, CDKN2C, PRIMPOL, COL12A1, and LINC02478, which gene exhibits the highest cell-type specificity in pancreatic epsilon cells, thereby representing the most promising target for type 1 diabetes mellitus?","Among NDUFA11, CDKN2C, PRIMPOL, COL12A1, and LINC02478, which gene exhibits the highest cell-type specificity in pancreatic epsilon cells, thereby representing the most promising target for type 1 diabetes mellitus? Identify the validated therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of the pancreatic epsilon cell-activated genes in PINNACLE overlap with these targets to define the cell-type–specific targets for the disease. Compute the average embedding of this overlapping set as a reference, then calculate the cosine similarity between the reference and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TVP23A', 'FGF18', 'NDUFA1', 'IFTAP', 'ACOT9']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA1,"Which gene among TVP23A, FGF18, NDUFA1, IFTAP, and ACOT9 exhibits the highest specificity for pancreatic epsilon cells, making it the most promising target for type 1 diabetes mellitus?","Which gene among TVP23A, FGF18, NDUFA1, IFTAP, and ACOT9 exhibits the highest specificity for pancreatic epsilon cells, making it the most promising target for type 1 diabetes mellitus? Identify all verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which pancreatic epsilon cell-activated genes overlap with these targets, and compute the average embedding of this overlapping set as a reference. Then, calculate the cosine similarity between this reference and each individual target. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['IFIT5', 'TMEM258', 'HHATL-AS1', 'SLC46A2', 'OR1A1']",type 1 diabetes mellitus,pancreatic epsilon cell,TMEM258,"Which gene, among IFIT5, TMEM258, HHATL-AS1, SLC46A2, and OR1A1, exhibits the highest cell-type specificity in pancreatic epsilon cells as a potential candidate for targeted investigations in type 1 diabetes mellitus?","Which gene, among IFIT5, TMEM258, HHATL-AS1, SLC46A2, and OR1A1, exhibits the highest cell-type specificity in pancreatic epsilon cells as a potential candidate for targeted investigations in type 1 diabetes mellitus? Retrieve the validated therapeutic targets for type 1 diabetes mellitus along with their cell-type–specific embeddings from PINNACLE. Identify the subset of these targets that overlaps with the pancreatic epsilon cell-activated genes in PINNACLE to define the cell-type–specific targets for this condition. Calculate the average embedding for these overlapping targets, then compute the cosine similarity between this average and each individual target embedding. If one gene exhibits a distinctly higher similarity relative to the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological significance."
"['OXNAD1', 'NDUFA3', 'ADGRA2', 'ADAT1', 'ZNF517']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA3,"Among the following genes—OXNAD1, NDUFA3, ADGRA2, ADAT1, and ZNF517—which one exhibits the highest cell-type specificity in pancreatic epsilon cells and represents the most promising candidate for therapeutic targeting in type 1 diabetes mellitus?","Among the following genes—OXNAD1, NDUFA3, ADGRA2, ADAT1, and ZNF517—which one exhibits the highest cell-type specificity in pancreatic epsilon cells and represents the most promising candidate for therapeutic targeting in type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from PINNACLE. Next, determine which of these targets overlap with the pancreatic epsilon-cell activated genes in PINNACLE to define the cell-type–specific targets for type 1 diabetes. Calculate the average embedding for this overlapping set to serve as a reference, then compute the cosine similarity between this reference and each individual target. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['LINC00707', 'NDUFS7', 'PART1', 'ASB4', 'DPY30']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFS7,"Which gene among LINC00707, NDUFS7, PART1, ASB4, and DPY30 exhibits the highest cell-type specificity in pancreatic epsilon cells relevant to type 1 diabetes mellitus research?","Which gene among LINC00707, NDUFS7, PART1, ASB4, and DPY30 exhibits the highest cell-type specificity in pancreatic epsilon cells relevant to type 1 diabetes mellitus research? Identify the validated therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE dataset. Then, from the pancreatic epsilon cell–activated genes in PINNACLE, determine which genes overlap with these therapeutic targets. Compute the average embedding of this overlapping set and calculate the cosine similarity between this average embedding and each individual gene's embedding. If one gene shows a significantly higher similarity than all others, nominate it as the top candidate for therapeutic targeting and provide a concise, evidence-based rationale for its biological relevance."
"['PFN4', 'MYH8', 'RITA1', 'EPS15L1', 'NDUFB2']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFB2,"Which gene among PFN4, MYH8, RITA1, EPS15L1, and NDUFB2 exhibits the highest cell-type specificity in pancreatic epsilon cells for a potential role in targeting type 1 diabetes mellitus?","Which gene among PFN4, MYH8, RITA1, EPS15L1, and NDUFB2 exhibits the highest cell-type specificity in pancreatic epsilon cells for a potential role in targeting type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine which of these targets overlap with genes activated in pancreatic epsilon cells in PINNACLE, defining this intersection as the cell-type–specific targets. Compute the average embedding of these targets, then calculate the cosine similarity between this reference and each individual target. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['SLC25A32', 'SCGB1D2', 'MT-ND1', 'OCIAD1', 'ACVR2B-AS1']",type 1 diabetes mellitus,pancreatic epsilon cell,MT-ND1,"Which gene among SLC25A32, SCGB1D2, MT-ND1, OCIAD1, and ACVR2B-AS1 demonstrates the highest cell-type-specific expression in pancreatic epsilon cells, thereby representing the optimal candidate for targeting in type 1 diabetes mellitus?","Which gene among SLC25A32, SCGB1D2, MT-ND1, OCIAD1, and ACVR2B-AS1 demonstrates the highest cell-type-specific expression in pancreatic epsilon cells, thereby representing the optimal candidate for targeting in type 1 diabetes mellitus? Identify validated therapeutic targets for type 1 diabetes and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which pancreatic epsilon cell–activated genes in PINNACLE overlap with these targets, defining this overlap as the set of cell-type–specific targets for type 1 diabetes. Compute the average embedding for these genes as a reference, then calculate the cosine similarity between this reference and each individual target’s embedding. If one gene shows significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
