disease,celltype,candidate_genes,y
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['FRY', 'CALHM5', 'CD3E', 'LINC02054', 'OR8D4']",CD3E
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ARMCX2', 'IL6ST', 'PYHIN1', 'NADSYN1', 'C10orf67']",IL6ST
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ZNF696', 'PRKD2', 'VPS39-DT', 'COX4I1', 'ATP6V0B']",COX4I1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['NT5C', 'TCEA2', 'KHNYN', 'PRDM1', 'LL22NC03-63E9.3']",PRDM1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MIR223HG', 'CABP5', 'ACSBG1', 'LTB', 'TFDP1']",LTB
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['UQCC3', 'SMYD2', 'JAK3', 'REEP1', 'PACSIN3']",JAK3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['KLHDC10', 'PPIAL4H', 'NOL12', 'ABI3BP', 'RPL21']",RPL21
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MT-ND3', 'ARPC3', 'TXNDC2', 'MEMO1', 'GNA13']",MT-ND3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ZNF385D', 'ADAMTS2', 'TNFAIP3', 'C12orf57', 'TAF5']",TNFAIP3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['EPB41L4A-DT', 'GAR1', 'TMEM256', 'TRPC4AP', 'HLA-A']",HLA-A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['EDC4', 'HMG20B', 'DCTN6', 'S100A10', 'PKD2L1']",S100A10
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['SDCBP2-AS1', 'TMEM184C', 'RPL3', 'TET1', 'NOP53-AS1']",RPL3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['TRDV3', 'CD2', 'SNX31', 'TBPL2', 'SYNC']",CD2
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MYO3A', 'RPLP1', 'LINC01806', 'ZNF865', 'CD8B2']",RPLP1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['CORO1A', 'OPHN1', 'CCDC175', 'ZNF18', 'TMEM213']",CORO1A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['GPSM3', 'LINC00628', 'TIPRL', 'SH3RF3', 'SUCLG1']",GPSM3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['PRICKLE3', 'LINC00278', 'CD52', 'TRIM56', 'ACYP2']",CD52
