disease,celltype,candidate_genes,y
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['BBOX1', 'CCDC127', 'NDUFAF3', 'RNASE1', 'INTS4']",NDUFAF3
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['MAMDC2', 'TSR1', 'TYK2', 'AVEN', 'RIPOR3']",TYK2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ERCC2', 'DIMT1', 'SELENOH', 'CD38', 'CASP8AP2']",CD38
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['SAT1', 'ISG20', 'CYFIP2', 'PRPF18', 'MT-ND4L']",MT-ND4L
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TRIM16', 'CDC42EP4', 'ZNF703', 'NRP2', 'NDUFV2']",NDUFV2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ELOC', 'KCNH1', 'SLC16A3', 'NDUFB4', 'SMC3']",NDUFB4
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['UPF3B', 'HLA-DRB1', 'RPL13AP17', 'GJB4', 'RABAC1']",HLA-DRB1
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['PRTN3', 'COL6A2', 'CD3G', 'MYOF', 'TBX22']",CD3G
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['RNF123', 'CORO1C', 'DLG1', 'TNFRSF4', 'FAM110A']",TNFRSF4
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['DENND2C', 'STYX', 'ARHGAP18', 'KIAA0319', 'NDUFC2']",NDUFC2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CLIC5', 'PBRM1', 'DDB1', 'PELI2', 'C7orf26']",DDB1
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['DDX49', 'TENT2', 'PICK1', 'TMEM144', 'IFNAR2']",IFNAR2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CDK4', 'SYP', 'EPHA5', 'CSN1S1', 'GINM1']",CDK4
