disease,celltype,candidate_genes,y
type 1 diabetes mellitus,pancreatic epsilon cell,"['CYTIP', 'ADCY2', 'DNAH10OS', 'XKR4', 'NDUFA3']",NDUFA3
type 1 diabetes mellitus,pancreatic epsilon cell,"['RASGRF2-AS1', 'RAB3IP', 'NDUFB2', 'LINC02024', 'POLR2G']",NDUFB2
type 1 diabetes mellitus,pancreatic epsilon cell,"['PIP5KL1', 'ZCCHC24', 'AGAP4', 'RPS26', 'PANK3']",RPS26
type 1 diabetes mellitus,pancreatic epsilon cell,"['INS', 'LAX1', 'GATAD2B', 'GABARAPL1', 'IPO7']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['CSKMT', 'PAK5', 'MT-ND1', 'KCNS1', 'DNAJB13']",MT-ND1
type 1 diabetes mellitus,pancreatic epsilon cell,"['C4orf36', 'NDUFA1', 'SPON2', 'PARM1', 'MINCR']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['DNAJC27-AS1', 'NDUFS7', 'ALG6', 'ALDH1L1-AS1', 'TP53TG3D']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['AWAT2', 'PLXNC1', 'AKIP1', 'LTBP3', 'NDUFB1']",NDUFB1
type 1 diabetes mellitus,pancreatic epsilon cell,"['COMMD6', 'LINC01180', 'SCUBE1', 'APBB3', 'FOXP4-AS1']",COMMD6
type 1 diabetes mellitus,pancreatic epsilon cell,"['TMEM258', 'LINC02731', 'TMEM225B', 'MYO5C', 'CASC8']",TMEM258
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFA11', 'NDFIP1', 'DPEP1', 'LAP3', 'TRMU']",NDUFA11
type 1 diabetes mellitus,pancreatic epsilon cell,"['SOX5', 'SLC26A2', 'IL11RA', 'CCDC62', 'NDUFA13']",NDUFA13
type 1 diabetes mellitus,pancreatic epsilon cell,"['INS', 'KLHDC8A', 'SLC25A22', 'NLRP12', 'ZBTB43']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['EMC10', 'MT-ND1', 'BMI1', 'GOLGA6L9', 'SPATA5L1']",MT-ND1
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFB2', 'MAP3K2-DT', 'NTRK2', 'PRSS21', 'LINC02322']",NDUFB2
type 1 diabetes mellitus,pancreatic epsilon cell,"['ETV7-AS1', 'KIF20B', 'LINC00239', 'NDUFA11', 'ASPHD1']",NDUFA11
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFA3', 'PCMTD1', 'RRS1', 'PCDH20', 'C6orf226']",NDUFA3
type 1 diabetes mellitus,pancreatic epsilon cell,"['TMPRSS11D', 'PDE8B', 'EXOC1', 'CSTB', 'NDUFS7']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['PYDC2', 'PTDSS1', 'NDUFA1', 'HMGXB4', 'TACR1']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['MMRN1', 'C1QL4', 'CASC23', 'RPS26', 'KTN1-AS1']",RPS26
type 1 diabetes mellitus,pancreatic d cell,"['PSMD7', 'NFATC1', 'ELMO3', 'CLNS1A', 'H1-4']",PSMD7
type 1 diabetes mellitus,pancreatic d cell,"['SPTAN1', 'UBE2G1', 'LINC00461', 'BAX', 'ZNF532']",UBE2G1
type 1 diabetes mellitus,pancreatic d cell,"['INMT', 'PKMYT1', 'SEMA3C', 'BLTP1', 'PUS10']",BLTP1
type 1 diabetes mellitus,pancreatic d cell,"['TLL2', 'LINC02752', 'LRP5', 'NDUFC1', 'SLITRK1']",NDUFC1
type 1 diabetes mellitus,pancreatic d cell,"['MCHR1', 'PPP1R9A', 'PTPN11', 'CREB3', 'BGLAP']",PTPN11
type 1 diabetes mellitus,pancreatic d cell,"['ENTHD1', 'FKBP1A', 'BGLAP', 'KLHDC10', 'GAST']",FKBP1A
type 1 diabetes mellitus,pancreatic d cell,"['F8A3', 'NDUFAF3', 'ATF7IP2', 'UBD', 'ZNF569']",NDUFAF3
type 1 diabetes mellitus,pancreatic d cell,"['MBNL2', 'MUS81', 'PRKACG', 'HLA-A', 'C9orf40']",HLA-A
type 1 diabetes mellitus,pancreatic d cell,"['CACNA1D', 'SPRY2', 'MEFV', 'OPN3', 'TCF4-AS1']",CACNA1D
type 1 diabetes mellitus,pancreatic d cell,"['NDUFS5', 'TTC7A', 'THOC5', 'BLOC1S6', 'LINC01563']",NDUFS5
type 1 diabetes mellitus,pancreatic d cell,"['PWRN2', 'NDUFS4', 'SPRING1', 'LINC02801', 'UGT2B10']",NDUFS4
type 1 diabetes mellitus,pancreatic d cell,"['NDUFB2', 'IQGAP1', 'PDXK', 'COX7A1', 'MYT1']",NDUFB2
type 1 diabetes mellitus,pancreatic d cell,"['EGLN2', 'ARAP1-AS1', 'SPC24', 'AMZ2', 'PRRG4']",AMZ2
type 1 diabetes mellitus,pancreatic d cell,"['VPS72', 'APMAP', 'HCFC1', 'CUL4B', 'ASCL2']",ASCL2
type 1 diabetes mellitus,pancreatic d cell,"['TOGARAM2', 'GRB14', 'TMEM39A', 'ZNF337', 'MAL2']",MAL2
type 1 diabetes mellitus,pancreatic d cell,"['DEXI', 'DRC7', 'OAZ3', 'BTG3', 'ASF1A']",DEXI
type 1 diabetes mellitus,pancreatic d cell,"['STON2', 'C2orf15', 'LINC01526', 'LEMD1', 'LIMCH1']",LIMCH1
type 1 diabetes mellitus,pancreatic d cell,"['IFT74', 'FYB2', 'PFDN6', 'IGFBP7', 'DDIT4L']",IGFBP7
type 1 diabetes mellitus,pancreatic d cell,"['MMP8', 'RPS6', 'ITM2A', 'TARS3', 'CDKN2A']",CDKN2A
type 1 diabetes mellitus,pancreatic d cell,"['MTCL1', 'LINC01975', 'IMPDH2', 'ADGRE5', 'FAM87A']",IMPDH2
type 1 diabetes mellitus,pancreatic ductal cell,"['MRPL18', 'TNF', 'ROPN1', 'SDC4', 'EIF3H']",TNF
type 1 diabetes mellitus,pancreatic ductal cell,"['IL6-AS1', 'LCE1E', 'OPCML', 'NDUFB5', 'SFSWAP']",NDUFB5
type 1 diabetes mellitus,pancreatic ductal cell,"['LINC02585', 'TGFB2-AS1', 'OXCT2', 'FGGY', 'ACOT6']",FGGY
type 1 diabetes mellitus,pancreatic ductal cell,"['TMEM91', 'FAM227B', 'MTFMT', 'SELENBP1', 'ATXN2']",ATXN2
type 1 diabetes mellitus,pancreatic ductal cell,"['IGBP1-AS2', 'RNF216', 'CFAP61', 'LINC01553', 'AIFM2']",RNF216
type 1 diabetes mellitus,pancreatic ductal cell,"['ZMYND15', 'ABHD3', 'RPGRIP1L', 'ACTR2', 'ABCG2']",RPGRIP1L
