disease,celltype,candidate_genes,y
Hepatoblastoma,endothelial,"['GRK2', 'MUC12', 'PTH2R', 'TOP2A', 'CFB']",TOP2A
Hepatoblastoma,endothelial,"['ASB16-AS1', 'LGMN', 'ARVCF', 'CDC42BPA', 'TYMS']",TYMS
Hepatoblastoma,endothelial,"['NHLH1', 'SLK', 'PRSS3', 'POLD3', 'KLF13']",POLD3
Hepatoblastoma,endothelial,"['DUSP16', 'RBMS1', 'NUDT5', 'PRIM2', 'GRAMD4']",PRIM2
Hepatoblastoma,endothelial,"['DHPS', 'MCEE', 'ANKS3', 'SSPOP', 'TUBB']",TUBB
Hepatoblastoma,endothelial,"['ZCCHC8', 'RMC1', 'TMEM33', 'POLE3', 'FDX2']",POLE3
Hepatoblastoma,endothelial,"['YEATS4', 'RAB4A', 'FBXO42', 'RRM1', 'H1-6']",RRM1
Hepatoblastoma,endothelial,"['SLC25A18', 'GPR135', 'THEMIS2', 'KIT', 'GATAD1']",KIT
Hepatoblastoma,endothelial,"['DCTD', 'TUBB4B', 'FPR2', 'NEU3', 'MT1H']",TUBB4B
Hepatoblastoma,endothelial,"['NOS1', 'HOXD4', 'SURF6', 'KCTD11', 'KDR']",KDR
Hepatoblastoma,endothelial,"['MASTL', 'SERINC2', 'YTHDF1', 'POLE2', 'CCNH']",POLE2
Hepatoblastoma,endothelial,"['ODF2L', 'MAML3', 'POLD2', 'LSG1', 'SLC16A9']",POLD2
Hepatoblastoma,endothelial,"['SLC9A3R2', 'PAPOLA', 'FLT4', 'GART', 'RABIF']",FLT4
Hepatoblastoma,endothelial,"['BRF2', 'TSKS', 'TOP1', 'ILK', 'SPEN']",TOP1
Hepatoblastoma,endothelial,"['TOP2B', 'CSH1', 'IL11', 'LSM14A', 'S100A12']",TOP2B
Hepatoblastoma,endothelial,"['NACA4P', 'TXN2', 'FLT1', 'RELT', 'SLAIN1']",FLT1
Hepatoblastoma,endothelial,"['PRIM1', 'CASQ2', 'GLIS3', 'HFE', 'GAA']",PRIM1
Hepatoblastoma,endothelial,"['ARL1', 'TUBB4B', 'WDR92', 'HSPA5', 'PIK3CD']",TUBB4B
Hepatoblastoma,endothelial,"['POLE3', 'METTL5', 'RBM28', 'NDUFA10', 'EPOR']",POLE3
Hepatoblastoma,endothelial,"['IGKV2-40', 'U2AF1', 'EPRS1', 'RALGDS', 'POLE2']",POLE2
Hepatoblastoma,kupffer cell,"['MORN3', 'CSRNP1', 'CD247', 'SWSAP1', 'PRIM1']",PRIM1
Hepatoblastoma,kupffer cell,"['KIAA1107', 'COLGALT2', 'RAC3', 'RPL9', 'FLT1']",FLT1
Hepatoblastoma,kupffer cell,"['HSPG2', 'PRIM2', 'EBF1', 'GPNMB', 'VAMP5']",PRIM2
Hepatoblastoma,kupffer cell,"['EIF3I', 'TOP2B', 'AFF2', 'KRT16', 'AMBP']",TOP2B
Hepatoblastoma,kupffer cell,"['HOXD12', 'CFAP97', 'RRM1', 'LCK', 'GNB1L']",RRM1
Hepatoblastoma,kupffer cell,"['C12orf57', 'IFNA16', 'PMPCA', 'DNM3', 'TOP1']",TOP1
Hepatoblastoma,kupffer cell,"['DYNLL2', 'TUBB4B', 'SHPRH', 'C2orf50', 'MAPK12']",TUBB4B
Hepatoblastoma,kupffer cell,"['ABCE1', 'POLE2', 'ATG16L2', 'FHL5', 'TRIO']",POLE2
Hepatoblastoma,kupffer cell,"['KDM4D', 'TYMS', 'NPC1', 'ATG4C', 'ASIC3']",TYMS
Hepatoblastoma,kupffer cell,"['TOP2A', 'DBI', 'SCML1', 'CEP250', 'H2AC6']",TOP2A
Hepatoblastoma,kupffer cell,"['POLA1', 'FAM207A', 'TIAF1', 'CNOT6L', 'OR10J1']",POLA1
