disease,celltype,candidate_genes,y
type 1 diabetes mellitus,pancreatic epsilon cell,"['COMMD6', 'PRKACG', 'TIGD2', 'LINC02813', 'GRIN2D']",COMMD6
type 1 diabetes mellitus,pancreatic epsilon cell,"['RAB26', 'MAB21L2', 'NDUFA11', 'ALDOC', 'EGLN2']",NDUFA11
type 1 diabetes mellitus,pancreatic epsilon cell,"['INSYN2A', 'PMFBP1', 'MT-ND1', 'SCOC-AS1', 'MARVELD3']",MT-ND1
type 1 diabetes mellitus,pancreatic epsilon cell,"['POMGNT2', 'SUPT7L', 'PTPN18', 'GRID1', 'NDUFB1']",NDUFB1
type 1 diabetes mellitus,pancreatic epsilon cell,"['NAIF1', 'PI4K2B', 'SLC35E3', 'NDUFA13', 'CAB39L']",NDUFA13
type 1 diabetes mellitus,pancreatic epsilon cell,"['DHRS12', 'SMIM28', 'NDUFB2', 'XAGE2', 'STK4']",NDUFB2
type 1 diabetes mellitus,pancreatic epsilon cell,"['BLOC1S3', 'ZDHHC15', 'NHLH2', 'LINC02736', 'NDUFA3']",NDUFA3
type 1 diabetes mellitus,pancreatic epsilon cell,"['TMEM258', 'SARAF', 'SRGAP3-AS4', 'FBXO41', 'UROC1']",TMEM258
type 1 diabetes mellitus,pancreatic epsilon cell,"['NPDC1', 'OOSP2', 'NDUFA1', 'CLK1', 'C10orf67']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['LEKR1', 'ECH1', 'ESYT3', 'C15orf39', 'NDUFS7']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['IRX4-AS1', 'RABL6', 'C1orf43', 'INS', 'LINC01963']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['EFCAB2', 'HSPH1', 'RPS26', 'TTLL3', 'ZC3H15']",RPS26
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFB2', 'SMARCAL1-AS1', 'USP51', 'SREK1', 'RBFA']",NDUFB2
type 1 diabetes mellitus,pancreatic epsilon cell,"['SEMA3E', 'NDUFA3', 'C1RL', 'VRK1', 'SPEM1']",NDUFA3
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFS7', 'ZRANB2-AS1', 'MFN2', 'TACR3', 'LINC01357']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFA13', 'SENP5', 'VXN', 'LRRC28', 'TMC6']",NDUFA13
type 1 diabetes mellitus,pancreatic epsilon cell,"['CHMP4C', 'CYP27C1', 'NREP', 'RPS26', 'ANAPC2']",RPS26
type 1 diabetes mellitus,pancreatic epsilon cell,"['TFIP11-DT', 'PLXDC1', 'ZNF274', 'NDUFA1', 'TMEM156']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['ATP1B1', 'ACAP3', 'LINC00665', 'FAHD2B', 'INS']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['COMMD6', 'FIBP', 'PRODH2', 'PPP1R3C', 'LINC02362']",COMMD6
type 1 diabetes mellitus,pancreatic d cell,"['CTRB2', 'AURKC', 'GSS', 'ITPKB', 'MTMR14']",CTRB2
type 1 diabetes mellitus,pancreatic d cell,"['MT-ND2', 'DDIAS', 'MEIKIN', 'LINC02818', 'OVGP1']",MT-ND2
type 1 diabetes mellitus,pancreatic d cell,"['TBXAS1', 'EIF5A', 'PRRT4', 'IQCH-AS1', 'LINC02811']",EIF5A
type 1 diabetes mellitus,pancreatic d cell,"['HAUS8', 'MED24', 'COLEC11', 'TP53RK-DT', 'RBM17']",RBM17
type 1 diabetes mellitus,pancreatic d cell,"['BSPRY', 'CDKN3', 'KCNQ4', 'LINC01948', 'M6PR']",M6PR
type 1 diabetes mellitus,pancreatic d cell,"['FAM78A', 'EFEMP1', 'HOXB8', 'PPIF', 'SLC28A2']",PPIF
type 1 diabetes mellitus,pancreatic d cell,"['BNIP2', 'PANDAR', 'UMODL1', 'BFSP2', 'RSBN1']",RSBN1
type 1 diabetes mellitus,pancreatic d cell,"['ALDH2', 'PYDC1', 'CACYBP', 'RASGEF1C', 'MROH2B']",ALDH2
type 1 diabetes mellitus,pancreatic d cell,"['JAK1', 'KCTD20', 'CTCFL', 'SNHG4', 'PIK3C2G']",JAK1
type 1 diabetes mellitus,pancreatic d cell,"['DEXI', 'ACAD11', 'GPR137', 'NWD2', 'OTUD6B-AS1']",DEXI
type 1 diabetes mellitus,pancreatic d cell,"['LINC01507', 'C1orf127', 'SCN11A', 'NDUFS7', 'RNF31']",NDUFS7
type 1 diabetes mellitus,pancreatic d cell,"['OR52E8', 'NDUFS3', 'TMEM132E', 'RBBP8NL', 'SMYD2']",NDUFS3
type 1 diabetes mellitus,pancreatic d cell,"['ZNF764', 'CDC14A', 'WASF3-AS1', 'NDUFA6', 'RETSAT']",NDUFA6
type 1 diabetes mellitus,pancreatic d cell,"['PCDHGC4', 'NDUFAF8', 'GORASP2', 'RGS13', 'WFDC2']",GORASP2
type 1 diabetes mellitus,pancreatic d cell,"['GDPD3', 'DCST2', 'CCNG1', 'H2BC4', 'ZNF503-AS1']",H2BC4
type 1 diabetes mellitus,pancreatic d cell,"['NDUFA12', 'KIAA1671-AS1', 'S100Z', 'IFI27', 'EDRF1-AS1']",NDUFA12
type 1 diabetes mellitus,pancreatic d cell,"['POGZ', 'LINC01535', 'LINC01678', 'TDRD5', 'NDUFA10']",NDUFA10
type 1 diabetes mellitus,pancreatic d cell,"['ALKAL2', 'ATXN7L3B', 'TPM4', 'PLEKHN1', 'CPSF7']",ATXN7L3B
type 1 diabetes mellitus,pancreatic d cell,"['C14orf93', 'CNTN1', 'WASF3', 'PTPN20', 'LINC02516']",CNTN1
type 1 diabetes mellitus,pancreatic d cell,"['P2RX1', 'NMRK1', 'FBXO24', 'NDUFA9', 'SFXN4']",NDUFA9
type 1 diabetes mellitus,pancreatic ductal cell,"['GALK1', 'HCG14', 'LINC02097', 'GRB10', 'LINC02596']",GRB10
type 1 diabetes mellitus,pancreatic ductal cell,"['TMEM187', 'UGT2B17', 'ANXA5', 'PIK3R6', 'SERPINB3']",ANXA5
type 1 diabetes mellitus,pancreatic ductal cell,"['KLHDC9', 'SRARP', 'ZBTB22', 'AGO4', 'SCN11A']",ZBTB22
type 1 diabetes mellitus,pancreatic ductal cell,"['FBXL5', 'NDUFB1', 'ZNF540', 'WWC2-AS2', 'LSM11']",NDUFB1
type 1 diabetes mellitus,pancreatic ductal cell,"['TGFB1I1', 'CASP14', 'NPIPA1', 'HECTD4', 'TECR']",HECTD4
type 1 diabetes mellitus,pancreatic ductal cell,"['FAM13C', 'NDUFA11', 'MEIS1-AS3', 'FANCD2OS', 'SLC5A8']",NDUFA11
type 1 diabetes mellitus,pancreatic ductal cell,"['CTSH', 'TPP1', 'BORCS5', 'USP4', 'USP9X']",CTSH
type 1 diabetes mellitus,pancreatic ductal cell,"['PDGFD', 'NRXN3', 'HAPLN2', 'ATOH8', 'CD163L1']",PDGFD
type 1 diabetes mellitus,pancreatic ductal cell,"['DNAJB13', 'CD46', 'ZNF264', 'PTRHD1', 'PCDHGA1']",PTRHD1
type 1 diabetes mellitus,pancreatic ductal cell,"['P2RY6', 'BRD2', 'MUCL3', 'THOC1-DT', 'CLIP2']",BRD2
type 1 diabetes mellitus,pancreatic ductal cell,"['TENT5C', 'DNM3', 'FMNL3', 'PCAT14', 'AGO2']",AGO2
type 1 diabetes mellitus,pancreatic ductal cell,"['USP54', 'FAM41C', 'NDRG2', 'PHYHD1', 'ZMIZ1']",ZMIZ1
type 1 diabetes mellitus,pancreatic ductal cell,"['CARMIL1', 'FAM83F', 'TMEM210', 'ZNF559-ZNF177', 'FAM120C']",CARMIL1
type 1 diabetes mellitus,pancreatic ductal cell,"['IFIH1', 'EMSLR', 'PPP4R1', 'MGC4859', 'IKBKB-DT']",IFIH1
type 1 diabetes mellitus,pancreatic ductal cell,"['DPF1', 'CLDN7', 'LAMTOR3', 'PIGL', 'FAAP100']",CLDN7
