disease,celltype,candidate_genes,y
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['PPM1L', 'PPIA', 'NIT1', 'CDK10', 'TMEM143']",PPIA
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['NMNAT1', 'ZNF574', 'RPL3', 'TMX3', 'ZNF713']",RPL3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MBLAC1', 'ZNF454', 'LATS2-AS1', 'RPLP1', 'SCGB1C1']",RPLP1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['FOXI3', 'CORO1A', 'LINC02604', 'SRSF11', 'SLC30A5']",CORO1A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['SLC30A7', 'TAFA1', 'CCDC186', 'DDX6', 'SZRD1']",DDX6
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ZNF10', 'FAM81B', 'GPSM3', 'LRFN4', 'CRYBA4']",GPSM3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ZRANB2-AS1', 'TBC1D10C', 'S100A10', 'ZC3H12B', 'SAMD3']",S100A10
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['LSM2', 'SRI-AS1', 'LIMK2', 'NCRNA00250', 'COX4I1']",COX4I1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ADNP', 'CD2', 'C6orf226', 'ODC1-DT', 'ZBTB6']",CD2
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['IFT27', 'AMD1', 'CHDH', 'ZW10', 'TNFAIP3']",TNFAIP3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['DENND6A', 'CD3E', 'HES6', 'CPEB1-AS1', 'LILRB3']",CD3E
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MILR1', 'VPS26B', 'LTB', 'PREB', 'CLCN7']",LTB
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['IL6ST', 'GALNT11', 'TTC1', 'TMEM141', 'AGO4']",IL6ST
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['C16orf95', 'EML3', 'TMEM38A', 'CRIM1-DT', 'HLA-A']",HLA-A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['CTBP1-AS', 'CCNYL1', 'CCDC196', 'MT-ND3', 'ELMOD3']",MT-ND3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['LINC01825', 'DDR1-DT', 'RUBCNL', 'CD52', 'GLIS2-AS1']",CD52
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['NUDCD1', 'JAK3', 'HMGCS1', 'CDC45', 'TRBV23-1']",JAK3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['STX5', 'RPL21', 'CHMP6', 'EMSLR', 'C18orf21']",RPL21
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['CORO1C', 'GUCY1A2', 'PRDM1', 'ADAMTS6', 'RIPOR3']",PRDM1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['FABP6-AS1', 'C12orf40', 'RELCH', 'DDR1-DT', 'HLA-C']",HLA-C
rheumatoid arthritis,classical monocyte,"['ZNF662', 'ETHE1', 'HDGFL2', 'HLA-E', 'KLF12']",HLA-E
rheumatoid arthritis,classical monocyte,"['SCMH1', 'CDCA5', 'VAMP2', 'EFNB1', 'ZEB2']",ZEB2
rheumatoid arthritis,classical monocyte,"['F13A1', 'RETREG2', 'IL1B', 'ZNF33B', 'PYROXD2']",IL1B
rheumatoid arthritis,classical monocyte,"['TEX29', 'RBM5-AS1', 'CPEB3', 'CDC42EP3', 'ZNF699']",CDC42EP3
rheumatoid arthritis,classical monocyte,"['SPACA6', 'ADAM17', 'ATXN2L', 'METTL15', 'FAF1']",ADAM17
rheumatoid arthritis,classical monocyte,"['IAPP', 'WDR25', 'AHR', 'HEATR1', 'HSPB9']",AHR
rheumatoid arthritis,classical monocyte,"['HIF1A', 'TLK1', 'DCST1', 'UBE2H', 'MAST4']",HIF1A
rheumatoid arthritis,classical monocyte,"['PMF1', 'SYT12', 'APBB1', 'TLE3', 'FRYL']",TLE3
rheumatoid arthritis,classical monocyte,"['PRKD3', 'LINC02319', 'IPMK', 'IFNGR2', 'TACR1']",IFNGR2
rheumatoid arthritis,classical monocyte,"['POLR3C', 'FER1L5', 'CHMP6', 'ARFGAP1', 'HLA-DRA']",HLA-DRA
rheumatoid arthritis,classical monocyte,"['NFKBIA', 'ANKRD36C', 'CCND3', 'SETDB1', 'TRA2A']",NFKBIA
rheumatoid arthritis,classical monocyte,"['SASS6', 'RPLP1', 'NDUFAF7', 'CRYBG2', 'KCNH1']",RPLP1
rheumatoid arthritis,classical monocyte,"['FLJ20021', 'MTPAP', 'DFFB', 'ABCE1', 'KTN1']",MTPAP
rheumatoid arthritis,classical monocyte,"['HIF1A', 'ANKRD31', 'ZW10', 'ATRNL1', 'FOXP4-AS1']",HIF1A
