disease,celltype,candidate_genes,y
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ACTN4', 'MT-ND3', 'POU2F1', 'CA12', 'ADNP']",MT-ND3
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CCDC26', 'HAS2', 'NDUFB2', 'THBD', 'AANAT']",NDUFB2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['AP1M1', 'RPL29P4', 'NDUFB10', 'CD6', 'CD207']",NDUFB10
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CYB5R1', 'TOP2A', 'PHPT1', 'VPREB1', 'ST6GALNAC2']",TOP2A
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CDK4', 'CCR2', 'TLN2', 'APC2', 'GAL3ST1']",CDK4
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TUBB', 'PPM1D', 'HIP1R', 'ZNF317', 'TLCD1']",TUBB
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['NDUFB3', 'IL34', 'PABPN1', 'GAL3ST3', 'SNX24']",NDUFB3
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CETP', 'HLA-DRB1', 'RHBG', 'LCT', 'TARDBP']",HLA-DRB1
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ILF2', 'RBX1', 'NRSN2', 'TXN2', 'FECH']",RBX1
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CLDND2', 'PKN3', 'NDUFA6', 'NOTCH4', 'DUS2']",NDUFA6
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['LCK', 'WNK2', 'MAP4K3', 'FAM135A', 'NBEA']",LCK
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['AKR7A3', 'NME1', 'PECR', 'TYK2', 'SCN8A']",TYK2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['FKBP1A', 'CDH15', 'DPYSL2', 'ELOVL6', 'IGLV3-25']",FKBP1A
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TAFA1', 'LAG3', 'RHOH', 'ICAM1', 'FAHD1']",LAG3
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TCHP', 'MDH1B', 'DRD5', 'ZNF804A', 'NDUFS6']",NDUFS6
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TAX1BP1', 'NDUFB9', 'USH1G', 'VGF', 'CYTOR']",NDUFB9
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['IER3', 'PHETA2', 'DPYSL5', 'LMO4', 'NDUFS8']",NDUFS8
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CLPP', 'AMN', 'PRKCB', 'INHBB', 'POP1']",PRKCB
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ADAM22', 'KLF15', 'FRG1', 'NDUFA10', 'BMP2']",NDUFA10
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CYB5R1', 'RAB11FIP3', 'MYEF2', 'NDUFV1', 'DNAJC13']",NDUFV1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['NUP107', 'SVOP', 'NDUFC2', 'TMEM131', 'ETS2']",NDUFC2
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['C17orf50', 'PRKAA2', 'SERF2', 'INIP', 'NDUFC1']",NDUFC1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['MSL3', 'MAFA', 'LCP1', 'ZDHHC11', 'TUBB']",TUBB
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['GYPC', 'CENPU', 'NDUFA2', 'EVX2', 'OLIG2']",NDUFA2
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['SPRR1B', 'KRTAP5-1', 'STRBP', 'HTR4', 'TOP2B']",TOP2B
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['MBLAC2', 'DNMT1', 'MAGEB6', 'SLC9A1', 'TTC39A']",DNMT1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['LHFPL3', 'NDUFA5', 'MRPS31', 'RNF8', 'RUSF1']",NDUFA5
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['C10orf62', 'PPP1R12C', 'NAA50', 'NDUFS4', 'C1orf105']",NDUFS4
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['BORCS5', 'NDUFS6', 'SPTBN2', 'WASHC2C', 'MCM8']",NDUFS6
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['TTLL7', 'CCNYL1', 'LHX6', 'PROX1', 'NDUFB11']",NDUFB11
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['SEC61B', 'FGD5', 'DTX3', 'NCOA1', 'MCL1']",MCL1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['PGP', 'HDAC7', 'PDE4A', 'ITIH6', 'PRKCZ']",HDAC7
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['GAK', 'CERK', 'HCLS1', 'MIP', 'NDUFAF4']",NDUFAF4
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['SLC7A10', 'GLA', 'TRAPPC10', 'NDUFV1', 'ECHDC2']",NDUFV1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['CAB39L', 'PSME1', 'CD79B', 'PPP1CB', 'FAM76B']",CD79B
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['PRNP', 'AVP', 'SMARCC1', 'NDUFA1', 'UROS']",NDUFA1
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['UTP25', 'PSMB5', 'SYN3', 'ACBD5', 'PCSK5']",PSMB5
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['CD3D', 'HAUS4', 'USP36', 'BAZ1B', 'TBC1D15']",CD3D
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['KLHL23', 'CRBN', 'PLD2', 'UCP3', 'TNFRSF12A']",CRBN
follicular lymphoma,naive thymus-derived cd4-positive alpha-beta t cell,"['MT-ND4', 'ZNF438', 'HCFC1R1', 'MAGEA2B', 'NME1-NME2']",MT-ND4
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['H2AC13', 'BBS4', 'LHPP', 'FXR2', 'NDUFA4']",NDUFA4
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['NDUFAB1', 'RGMA', 'ZNF697', 'IL18', 'ANKRD26P1']",NDUFAB1
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['TLR2', 'KHDRBS3', 'ZNF660', 'U2AF1', 'FYN']",FYN
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['FCRL3', 'TEAD2', 'LRRC45', 'CELF2', 'HECTD1']",CELF2
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['CDRT4', 'NDUFB4', 'SLC7A11', 'IL36RN', 'SPIRE1']",NDUFB4
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['PDS5B', 'NDUFS5', 'FAM27E3', 'APOBEC3A', 'CASP9']",NDUFS5
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['TRMT10A', 'NDUFS7', 'LONRF2', 'SERINC1', 'RBPMS2']",NDUFS7
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['GABRD', 'RNF122', 'NDUFV2', 'MAP4K2', 'PAGE1']",NDUFV2
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['IL2RB', 'ATG16L2', 'TMEM120B', 'TIE1', 'EIF5A']",IL2RB
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['UGT2B4', 'PFKM', 'AZGP1', 'HSP90AA1', 'GSTM3']",HSP90AA1
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['COL20A1', 'PPIA', 'STAC', 'MRPL49', 'MTHFS']",PPIA
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['MT-ND4L', 'IFNA1', 'FCER1G', 'BRD2', 'ARMC1']",MT-ND4L
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['SFXN1', 'AQP9', 'HLA-DMB', 'HSP90AB1', 'DROSHA']",HSP90AB1
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['PPP4R1', 'SEMA3A', 'NUDT6', 'INTS13', 'NDUFB10']",NDUFB10
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['USP47', 'PDC', 'KEL', 'MT-ND3', 'NET1']",MT-ND3
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['NDUFS7', 'OGDHL', 'CLCN1', 'CACNA1F', 'ZBTB1']",NDUFS7
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['PTBP2', 'NDUFS5', 'CLTRN', 'BCAR1', 'PHKA1']",NDUFS5
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['ZFP3', 'GLA', 'STMN4', 'TRMT10A', 'HSP90AA1']",HSP90AA1
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['TUG1', 'SLC13A3', 'MT-ND3', 'DLEU1', 'CERKL']",MT-ND3
follicular lymphoma,naive thymus-derived cd8-positive alpha-beta t cell,"['SHISAL2A', 'FBN2', 'NGLY1', 'NDUFA4', 'DDX58']",NDUFA4
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HDAC1', 'HS3ST1', 'FLI1', 'PROKR2', 'SYT15']",HDAC1
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['WIPF3', 'CELSR2', 'BCL2A1', 'RHAG', 'SH3YL1']",BCL2A1
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HSPE1', 'BAG6', 'NDUFV2', 'VEZF1', 'WEE1']",NDUFV2
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['OTUD3', 'ZFP36', 'CD28', 'NDUFS7', 'GOLGA2']",NDUFS7
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['CYP1A1', 'DUSP21', 'MS4A1', 'ELMOD2', 'SART1']",MS4A1
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HDAC3', 'SPRING1', 'ATXN7L1', 'SCNN1D', 'STK16']",HDAC3
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HMGA1', 'MBD3L3', 'NDUFS3', 'SUCO', 'KMT2C']",NDUFS3
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['DNMT1', 'TIMM29', 'TH', 'ORMDL3', 'PTPN20']",DNMT1
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['UVRAG', 'RCVRN', 'SUV39H2', 'NDUFAF3', 'RSRP1']",NDUFAF3
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HLA-DRB5', 'NCOA5', 'UBE2E2', 'TDRD1', 'GFUS']",HLA-DRB5
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['DMTN', 'LRP1', 'SMTN', 'CXCR4', 'DPP10']",CXCR4
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['NDUFB7', 'VASH1', 'DOCK7', 'XRCC1', 'EFS']",NDUFB7
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['PPIA', 'BATF3', 'MRAP', 'KIF9', 'TONSL']",PPIA
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['C17orf67', 'FAAP20', 'PRR19', 'SEPTIN12', 'NDUFA5']",NDUFA5
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['RFTN1', 'NDUFA2', 'CLIP4', 'CD177', 'SP2']",NDUFA2
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['HSPB1', 'MT-ND4L', 'FIGN', 'SUPV3L1', 'PRPSAP2']",MT-ND4L
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['DTX3L', 'NIFK', 'CDK4', 'MYOF', 'SCML1']",CDK4
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['FAM153CP', 'TMIE', 'CCL21', 'MCMDC2', 'NDUFB6']",NDUFB6
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['SDS', 'BTBD2', 'RABGAP1', 'ARIH2', 'NDUFS6']",NDUFS6
follicular lymphoma,effector cd8-positive alpha-beta t cell,"['LMBR1L', 'HSP90AA1', 'KLF3', 'KLK4', 'POU2AF1']",HSP90AA1
follicular lymphoma,cd8-positive alpha-beta t cell,"['EZH2', 'KCNIP4', 'CERK', 'NCOA1', 'EI24']",EZH2
follicular lymphoma,cd8-positive alpha-beta t cell,"['HDAC2', 'CDCA7L', 'IL1A', 'WDR82P1', 'AQP3']",HDAC2
follicular lymphoma,cd8-positive alpha-beta t cell,"['NDUFB5', 'PLEKHA6', 'PAM', 'POMK', 'SERPINA5']",NDUFB5
follicular lymphoma,cd8-positive alpha-beta t cell,"['FBXO28', 'UNC5A', 'ATF2', 'TMEM255B', 'HDAC3']",HDAC3
follicular lymphoma,cd8-positive alpha-beta t cell,"['MECR', 'BANK1', 'USE1', 'NDUFS7', 'MUC5AC']",NDUFS7
follicular lymphoma,cd8-positive alpha-beta t cell,"['PCDHA12', 'RBM15B', 'LINC00663', 'NDUFB3', 'RAB41']",NDUFB3
follicular lymphoma,cd8-positive alpha-beta t cell,"['MIEF2', 'EIF4H', 'IMPDH2', 'REV1', 'CCSER1']",IMPDH2
follicular lymphoma,cd8-positive alpha-beta t cell,"['GRM4', 'CAP1', 'NDUFA10', 'SP8', 'ACTA1']",NDUFA10
follicular lymphoma,cd8-positive alpha-beta t cell,"['DMAC1', 'RPL27', 'SPACA1', 'CEP290', 'TP53']",TP53
follicular lymphoma,cd8-positive alpha-beta t cell,"['NDUFS2', 'HES5', 'KIAA0754', 'PLA2G4A', 'RPH3A']",NDUFS2
follicular lymphoma,cd8-positive alpha-beta t cell,"['HS3ST2', 'RFC1', 'YES1', 'PRKAR2B', 'SMARCE1']",YES1
follicular lymphoma,cd8-positive alpha-beta t cell,"['EMC7', 'TBC1D9', 'IMPDH1', 'UTF1', 'CELSR2']",IMPDH1
follicular lymphoma,cd8-positive alpha-beta t cell,"['MYT1', 'CCDC150', 'NEUROD1', 'CALCB', 'NDUFB6']",NDUFB6
follicular lymphoma,cd8-positive alpha-beta t cell,"['CREBBP', 'MT-ND3', 'ATG12', 'PIK3IP1', 'RPS16']",MT-ND3
follicular lymphoma,cd8-positive alpha-beta t cell,"['POLA2', 'PLD3', 'TOR1B', 'FKBP8', 'KRTAP5-3']",POLA2
follicular lymphoma,cd8-positive alpha-beta t cell,"['CNOT10', 'SLC35B4', 'COLQ', 'LPAR3', 'CDK7']",CDK7
follicular lymphoma,cd8-positive alpha-beta t cell,"['C5orf22', 'SLC39A9', 'DDHD1', 'TYK2', 'TBCB']",TYK2
follicular lymphoma,cd8-positive alpha-beta t cell,"['RRP12', 'PLEKHB1', 'IDH3G', 'MT-ND4', 'NSRP1']",MT-ND4
follicular lymphoma,cd8-positive alpha-beta t cell,"['NRSN2', 'PLG', 'RNF13', 'NDUFA8', 'HIF1A']",NDUFA8
follicular lymphoma,cd8-positive alpha-beta t cell,"['MT-ND5', 'XPO1', 'PRPF40B', 'RNF213', 'CD27']",MT-ND5
follicular lymphoma,t follicular helper cell,"['SLITRK5', 'GPX7', 'LIFR', 'CCNK', 'NDUFA5']",NDUFA5
