gene_a,gene_b,cell_line,interaction,user_question,experiment_instruction,full_query
PLK1,NPM1,CAL27,synthetic lethality,We're analyzing a double knockout experiment where PLK1 and NPM1 have been simultaneously mutated in CAL27 oral squamous cell carcinoma cells. Can you determine if there's any synthetic genetic interaction between these two mutations in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're analyzing a double knockout experiment where PLK1 and NPM1 have been simultaneously mutated in CAL27 oral squamous cell carcinoma cells. Can you determine if there's any synthetic genetic interaction between these two mutations in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PARP1,KIF11,CAL27,synthetic lethality,We're investigating the effects of concurrent mutations in PARP1 and KIF11 in the CAL27 head and neck cancer cell line. Could you determine if there is any synthetic genetic interaction between these two genes in this context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating the effects of concurrent mutations in PARP1 and KIF11 in the CAL27 head and neck cancer cell line. Could you determine if there is any synthetic genetic interaction between these two genes in this context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
XPA,POLE,CAL27,synthetic lethality,We're exploring potential synthetic genetic interactions in CAL27 squamous cell carcinoma cells where we've generated mutants for both XPA and POLE. Could you help us determine if any synthetic genetic interaction exists between these two DNA repair genes when simultaneously mutated in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're exploring potential synthetic genetic interactions in CAL27 squamous cell carcinoma cells where we've generated mutants for both XPA and POLE. Could you help us determine if any synthetic genetic interaction exists between these two DNA repair genes when simultaneously mutated in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
TMEM173,MRE11,CAL27,synthetic lethality,We're investigating a double knockout of TMEM173 and MRE11 in our CAL27 squamous cell carcinoma model. Can you determine what synthetic genetic interaction might exist between these two mutations in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating a double knockout of TMEM173 and MRE11 in our CAL27 squamous cell carcinoma model. Can you determine what synthetic genetic interaction might exist between these two mutations in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
KIF11,KDM5C,CAL27,synthetic lethality,"We've been working with CAL27 head and neck cancer cells where we've simultaneously mutated both KIF11 and KDM5C. I'm trying to determine if there's any synthetic genetic interaction between these two mutated genes in this cell line. What would be the expected interaction pattern, if any?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've been working with CAL27 head and neck cancer cells where we've simultaneously mutated both KIF11 and KDM5C. I'm trying to determine if there's any synthetic genetic interaction between these two mutated genes in this cell line. What would be the expected interaction pattern, if any? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
SF3B1,PARP6,CAL27,synthetic lethality,We are investigating the effects of concurrent mutations in SF3B1 and PARP6 in the CAL27 squamous cell carcinoma line. Could you tell me what synthetic genetic interaction might exist between these two gene mutations in this particular cell context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We are investigating the effects of concurrent mutations in SF3B1 and PARP6 in the CAL27 squamous cell carcinoma line. Could you tell me what synthetic genetic interaction might exist between these two gene mutations in this particular cell context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CDKN2B,TAF1,CAL27,synthetic lethality,"We've been exploring the effects of simultaneous gene knockouts in our CAL27 head and neck cancer cell line. Could you tell me what synthetic genetic interaction, if any, would result from concurrent mutations in CDKN2B and TAF1?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've been exploring the effects of simultaneous gene knockouts in our CAL27 head and neck cancer cell line. Could you tell me what synthetic genetic interaction, if any, would result from concurrent mutations in CDKN2B and TAF1? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
FANCD2,RAD1,CAL27,synthetic lethality,We've generated knockout mutations for both FANCD2 and RAD1 genes in our CAL27 oral cancer cell line. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences we might observe.,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've generated knockout mutations for both FANCD2 and RAD1 genes in our CAL27 oral cancer cell line. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences we might observe. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CHEK2,TOP2A,CAL27,synthetic lethality,We've engineered a CAL27 cell line carrying mutations in both CHEK2 and TOP2A. I'm interested in determining if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences might result from their combination.,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a CAL27 cell line carrying mutations in both CHEK2 and TOP2A. I'm interested in determining if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences might result from their combination. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
UBE2I,BAP1,CAL27,synthetic lethality,We've engineered a double knockout of UBE2I and BAP1 in our CAL27 oral cancer cells. I'm wondering what synthetic genetic interaction might occur between these two mutations in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a double knockout of UBE2I and BAP1 in our CAL27 oral cancer cells. I'm wondering what synthetic genetic interaction might occur between these two mutations in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
