gene_a,gene_b,condition,interaction,user_question,full_query
CDC40,SET2,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when cells carry mutations in both the CDC40 and SET2 genes and are exposed to dimethyl sulfate, what is the resulting synthetic genetic interaction observed?","In Saccharomyces cerevisiae, when cells carry mutations in both the CDC40 and SET2 genes and are exposed to dimethyl sulfate, what is the resulting synthetic genetic interaction observed?"
CDC40,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the concurrent mutation of CDC40 and RPD3 affect the cellular phenotype in terms of their genetic interplay?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the concurrent mutation of CDC40 and RPD3 affect the cellular phenotype in terms of their genetic interplay?"
GND2,SET2,DMS,non-sl,"In Saccharomyces cerevisiae, when both GND2 and SET2 are concurrently mutated and the cells are challenged with dimethyl sulfate, what type of synthetic genetic interaction might we observe?","In Saccharomyces cerevisiae, when both GND2 and SET2 are concurrently mutated and the cells are challenged with dimethyl sulfate, what type of synthetic genetic interaction might we observe?"
MSS51,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, what synthetic interaction emerges when mutations are introduced simultaneously in MSS51 and RPD3?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, what synthetic interaction emerges when mutations are introduced simultaneously in MSS51 and RPD3?"
MSS51,DNL4,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of MSS51 and DNL4 affect genetic network responses when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of MSS51 and DNL4 affect genetic network responses when cells are exposed to dimethyl sulfate?"
EFM1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the simultaneous mutation of EFM1 and RPD3 affect the overall genetic interaction?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the simultaneous mutation of EFM1 and RPD3 affect the overall genetic interaction?"
MHR1,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both MHR1 and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, how would you characterize the resulting genetic interplay?","In Saccharomyces cerevisiae, when both MHR1 and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, how would you characterize the resulting genetic interplay?"
MHR1,CDC4,DMS,non-sl,"In Saccharomyces cerevisiae, if both MHR1 and CDC4 are mutated and the cells are treated with dimethyl sulfate, how does the genetic interaction manifest under these conditions?","In Saccharomyces cerevisiae, if both MHR1 and CDC4 are mutated and the cells are treated with dimethyl sulfate, how does the genetic interaction manifest under these conditions?"
ICS3,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae cells exposed to dimethyl sulfate, what phenotype emerges when both ICS3 and RAD23 are simultaneously mutated, and how would you describe their synthetic genetic interaction?","In Saccharomyces cerevisiae cells exposed to dimethyl sulfate, what phenotype emerges when both ICS3 and RAD23 are simultaneously mutated, and how would you describe their synthetic genetic interaction?"
PIN4,RAD54,DMS,synthetic lethality,"In Saccharomyces cerevisiae, if both PIN4 and RAD54 are concurrently disrupted and the cells are subjected to dimethyl sulfate treatment, what synthetic genetic interaction would be observed?","In Saccharomyces cerevisiae, if both PIN4 and RAD54 are concurrently disrupted and the cells are subjected to dimethyl sulfate treatment, what synthetic genetic interaction would be observed?"
