gene_a,gene_b,cell_line,interaction,user_question,experiment_instruction,full_query
HDAC6,KRAS,MDAMB231,synthetic lethality,We are investigating genetic dependencies in MDAMB231 triple-negative breast cancer cells and have generated lines with mutations in both HDAC6 and KRAS. Could you tell me if there is any synthetic genetic interaction between these two genes in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We are investigating genetic dependencies in MDAMB231 triple-negative breast cancer cells and have generated lines with mutations in both HDAC6 and KRAS. Could you tell me if there is any synthetic genetic interaction between these two genes in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PARP1,SIRT6,MDAMB231,synthetic lethality,"We've engineered MDAMB231 cells with mutations in both PARP1 and SIRT6. I'm interested in determining if there's any synthetic genetic interaction between these two mutations in this triple-negative breast cancer cell line. Could you help identify what interaction, if any, exists between these concurrent mutations?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered MDAMB231 cells with mutations in both PARP1 and SIRT6. I'm interested in determining if there's any synthetic genetic interaction between these two mutations in this triple-negative breast cancer cell line. Could you help identify what interaction, if any, exists between these concurrent mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
FGFR2,RECQL4,MDAMB231,synthetic lethality,We have engineered MDAMB231 cells with mutations in both FGFR2 and RECQL4. Could you tell me what synthetic genetic interaction might exist between these two genes in this breast cancer cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We have engineered MDAMB231 cells with mutations in both FGFR2 and RECQL4. Could you tell me what synthetic genetic interaction might exist between these two genes in this breast cancer cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
TET2,DHFR,MDAMB231,synthetic lethality,We've developed a MDAMB231 cell line with mutations in both TET2 and DHFR. I'm trying to determine if there's any synthetic genetic interaction between these two mutations. Have you observed any evidence of synthetic interaction when these specific genes are mutated together in this breast cancer model?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've developed a MDAMB231 cell line with mutations in both TET2 and DHFR. I'm trying to determine if there's any synthetic genetic interaction between these two mutations. Have you observed any evidence of synthetic interaction when these specific genes are mutated together in this breast cancer model? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CHEK1,EED,MDAMB231,synthetic lethality,We've recently engineered MDAMB231 cells with mutations in both CHEK1 and EED genes. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences might result from this combination in our triple-negative breast cancer model.,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've recently engineered MDAMB231 cells with mutations in both CHEK1 and EED genes. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what phenotypic consequences might result from this combination in our triple-negative breast cancer model. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
MAPK1,CREBBP,MDAMB231,synthetic lethality,We've been studying potential genetic interactions in MDAMB231 cells and introduced mutations in both MAPK1 and CREBBP. Could you tell me if there's a synthetic genetic interaction between these mutations in this triple-negative breast cancer cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've been studying potential genetic interactions in MDAMB231 cells and introduced mutations in both MAPK1 and CREBBP. Could you tell me if there's a synthetic genetic interaction between these mutations in this triple-negative breast cancer cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PRKDC,KDM5C,MDAMB231,synthetic lethality,"We're analyzing a double knockout of PRKDC and KDM5C in the MDAMB231 breast cancer cell line. Could you tell me what synthetic genetic interaction, if any, would occur between these two genes in this cellular context?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're analyzing a double knockout of PRKDC and KDM5C in the MDAMB231 breast cancer cell line. Could you tell me what synthetic genetic interaction, if any, would occur between these two genes in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
ERCC2,BRAF,MDAMB231,synthetic lethality,We are conducting a genetic study where we've created a double mutant with inactivated ERCC2 and BRAF in the MDAMB231 breast cancer cell line. Could you help us determine if there's any synthetic genetic interaction between these two genes in this context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We are conducting a genetic study where we've created a double mutant with inactivated ERCC2 and BRAF in the MDAMB231 breast cancer cell line. Could you help us determine if there's any synthetic genetic interaction between these two genes in this context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CHEK1,VEGFA,MDAMB231,synthetic lethality,We're investigating the effects of simultaneously knocking out CHEK1 and VEGFA in MDAMB231 triple-negative breast cancer cells. Could you tell me if there's any synthetic genetic interaction between these two genes in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating the effects of simultaneously knocking out CHEK1 and VEGFA in MDAMB231 triple-negative breast cancer cells. Could you tell me if there's any synthetic genetic interaction between these two genes in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CTNNB1,BAP1,MDAMB231,synthetic lethality,We've been working with MDAMB231 cells carrying mutations in both CTNNB1 and BAP1. I'm trying to determine if there's any synthetic genetic interaction between these two mutations in this breast cancer cell line. Can you help interpret what kind of interaction we might expect to see?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've been working with MDAMB231 cells carrying mutations in both CTNNB1 and BAP1. I'm trying to determine if there's any synthetic genetic interaction between these two mutations in this breast cancer cell line. Can you help interpret what kind of interaction we might expect to see? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
