gene_a,gene_b,condition,interaction,user_question,full_query
KTI12,RAD54,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous mutation of KTI12 and RAD54 alter the cellular response compared to individual gene disruptions?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous mutation of KTI12 and RAD54 alter the cellular response compared to individual gene disruptions?"
KTI12,SAK1,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, what are the observed cellular outcomes when both KTI12 and SAK1 are concurrently disrupted, and how do these findings inform our understanding of their synthetic genetic interaction?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, what are the observed cellular outcomes when both KTI12 and SAK1 are concurrently disrupted, and how do these findings inform our understanding of their synthetic genetic interaction?"
CFT1,RAD54,DMS,non-sl,"In Saccharomyces cerevisiae, when both CFT1 and RAD54 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction can be observed?","In Saccharomyces cerevisiae, when both CFT1 and RAD54 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction can be observed?"
SCD5,RAD54,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells with mutations in SCD5 and RAD54, how does exposure to dimethyl sulfate alter genetic interactions, particularly in terms of cell viability and phenotype?","In Saccharomyces cerevisiae cells with mutations in SCD5 and RAD54, how does exposure to dimethyl sulfate alter genetic interactions, particularly in terms of cell viability and phenotype?"
SCD5,TEL1,DMS,non-sl,"Considering a Saccharomyces cerevisiae model with both SCD5 and TEL1 disrupted and exposed to dimethyl sulfate, what kind of synthetic genetic interaction would you expect to observe under these conditions?","Considering a Saccharomyces cerevisiae model with both SCD5 and TEL1 disrupted and exposed to dimethyl sulfate, what kind of synthetic genetic interaction would you expect to observe under these conditions?"
SDT1,RAD54,DMS,non-sl,"In Saccharomyces cerevisiae, when SDT1 and RAD54 are both mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, when SDT1 and RAD54 are both mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction emerges under these conditions?"
GEA2,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, we've introduced concurrent mutations in GEA2 and RPD3 and treated the cells with dimethyl sulfate. Could you detail the observed synthetic genetic interaction under these experimental conditions?","In Saccharomyces cerevisiae, we've introduced concurrent mutations in GEA2 and RPD3 and treated the cells with dimethyl sulfate. Could you detail the observed synthetic genetic interaction under these experimental conditions?"
GEA2,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae, when mutations in both GEA2 and RAD9 are present and the cells are subjected to dimethyl sulfate treatment, what synthetic genetic phenotype becomes apparent?","In Saccharomyces cerevisiae, when mutations in both GEA2 and RAD9 are present and the cells are subjected to dimethyl sulfate treatment, what synthetic genetic phenotype becomes apparent?"
GCS1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, with targeted mutations in GCS1 and RPD3 under dimethyl sulfate exposure, how do these genetic alterations interact synthetically?","In Saccharomyces cerevisiae, with targeted mutations in GCS1 and RPD3 under dimethyl sulfate exposure, how do these genetic alterations interact synthetically?"
CBS1,MSH6,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the viability of strains with concurrent mutations in CBS1 and MSH6 change under dimethyl sulfate treatment, and what synthetic genetic interaction might this combination suggest?","In Saccharomyces cerevisiae, how does the viability of strains with concurrent mutations in CBS1 and MSH6 change under dimethyl sulfate treatment, and what synthetic genetic interaction might this combination suggest?"
CBS1,CHD1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of CBS1 and CHD1 affect cellular responses under dimethyl sulfate treatment, particularly regarding any synthetic genetic interplay?","In Saccharomyces cerevisiae, how does the concurrent mutation of CBS1 and CHD1 affect cellular responses under dimethyl sulfate treatment, particularly regarding any synthetic genetic interplay?"
FRQ1,MSH6,DMS,non-sl,"In Saccharomyces cerevisiae, when FRQ1 and MSH6 are concurrently mutated and the cells are exposed to dimethyl sulfate, could you detail the synthetic genetic interaction that emerges under these conditions?","In Saccharomyces cerevisiae, when FRQ1 and MSH6 are concurrently mutated and the cells are exposed to dimethyl sulfate, could you detail the synthetic genetic interaction that emerges under these conditions?"
YOL013W-A,RAD9,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells subjected to dimethyl sulfate treatment, what synthetic genetic interaction is evident when both YOL013W-A and RAD9 are concurrently mutated?","In Saccharomyces cerevisiae cells subjected to dimethyl sulfate treatment, what synthetic genetic interaction is evident when both YOL013W-A and RAD9 are concurrently mutated?"
YOL013W-A,MEU1,DMS,non-sl,"In Saccharomyces cerevisiae treated with dimethyl sulfate, how does the concurrent mutation of YOL013W-A and MEU1 influence cellular phenotypes and overall viability?","In Saccharomyces cerevisiae treated with dimethyl sulfate, how does the concurrent mutation of YOL013W-A and MEU1 influence cellular phenotypes and overall viability?"
CAJ1,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae, when both CAJ1 and RAD9 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both CAJ1 and RAD9 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?"
MRPS12,RAD54,DMS,synthetic lethality,"In Saccharomyces cerevisiae strains harboring mutations in both MRPS12 and RAD54, how does exposure to dimethyl sulfate affect the overall genetic interaction between these genes?","In Saccharomyces cerevisiae strains harboring mutations in both MRPS12 and RAD54, how does exposure to dimethyl sulfate affect the overall genetic interaction between these genes?"
MRPS12,SSM4,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotypic consequences arise when MRPS12 and SSM4 are both mutated, and how do these genetic alterations interact under this stress condition?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotypic consequences arise when MRPS12 and SSM4 are both mutated, and how do these genetic alterations interact under this stress condition?"
CAB5,RAD54,DMS,non-sl,"In Saccharomyces cerevisiae, when both CAB5 and RAD54 are concurrently mutated and the cells are exposed to dimethyl sulfate, what specific synthetic genetic interaction is observable under these conditions?","In Saccharomyces cerevisiae, when both CAB5 and RAD54 are concurrently mutated and the cells are exposed to dimethyl sulfate, what specific synthetic genetic interaction is observable under these conditions?"
BNA4,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when BNA4 and RPD3 are both mutated and the cells are exposed to dimethyl sulfate, what genetic interplay is observed under these conditions?","In Saccharomyces cerevisiae, when BNA4 and RPD3 are both mutated and the cells are exposed to dimethyl sulfate, what genetic interplay is observed under these conditions?"
BNA4,MEU1,DMS,non-sl,"In Saccharomyces cerevisiae, if both BNA4 and MEU1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction would you expect to observe?","In Saccharomyces cerevisiae, if both BNA4 and MEU1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction would you expect to observe?"
YBR221W-A,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both YBR221W-A and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interplay do you observe?","In Saccharomyces cerevisiae, when both YBR221W-A and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interplay do you observe?"
YOR331C,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, if both YOR331C and RPD3 are mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction would be observed under these treatment conditions?","In Saccharomyces cerevisiae, if both YOR331C and RPD3 are mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction would be observed under these treatment conditions?"
YOR331C,CUL3,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the combined mutation of YOR331C and CUL3 influence cellular behavior?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the combined mutation of YOR331C and CUL3 influence cellular behavior?"
HEM2,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both HEM2 and RPD3 are mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic behavior is observed between these alterations?","In Saccharomyces cerevisiae, when both HEM2 and RPD3 are mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic behavior is observed between these alterations?"
MRPL33,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of MRPL33 and RPD3 influence cellular phenotype, and what does this suggest about their synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of MRPL33 and RPD3 influence cellular phenotype, and what does this suggest about their synthetic genetic interaction?"
MRPL33,BDF2,DMS,non-sl,"In Saccharomyces cerevisiae, how does the combination of mutations in MRPL33 and BDF2 influence cellular responses under treatment with dimethyl sulfate?","In Saccharomyces cerevisiae, how does the combination of mutations in MRPL33 and BDF2 influence cellular responses under treatment with dimethyl sulfate?"
PUB1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae where the PUB1 and RPD3 genes are concurrently mutated, and cells are exposed to dimethyl sulfate, what synthetic genetic interaction profile would you expect?","In Saccharomyces cerevisiae where the PUB1 and RPD3 genes are concurrently mutated, and cells are exposed to dimethyl sulfate, what synthetic genetic interaction profile would you expect?"
MIP1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of MIP1 and RPD3 influence cellular response when cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of MIP1 and RPD3 influence cellular response when cells are exposed to dimethyl sulfate?"
MIP1,RSC1,DMS,non-sl,"In Saccharomyces cerevisiae, when both MIP1 and RSC1 are disrupted and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when both MIP1 and RSC1 are disrupted and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe?"
YDL177C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous disruption of YDL177C and RPD3 affect cellular performance under dimethyl sulfate exposure in terms of synthetic genetic interactions?","In Saccharomyces cerevisiae, how does the simultaneous disruption of YDL177C and RPD3 affect cellular performance under dimethyl sulfate exposure in terms of synthetic genetic interactions?"
SLX5,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, after creating a concurrent mutation in SLX5 and RPD3 and treating the cells with dimethyl sulfate, what synthetic genetic interaction would you anticipate?","In Saccharomyces cerevisiae, after creating a concurrent mutation in SLX5 and RPD3 and treating the cells with dimethyl sulfate, what synthetic genetic interaction would you anticipate?"
SLX5,HO,DMS,non-sl,"In Saccharomyces cerevisiae with simultaneous mutations in SLX5 and HO, how does exposure to dimethyl sulfate influence the cellular phenotype, and what synthetic genetic interaction might arise?","In Saccharomyces cerevisiae with simultaneous mutations in SLX5 and HO, how does exposure to dimethyl sulfate influence the cellular phenotype, and what synthetic genetic interaction might arise?"
PAU4,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both PAU4 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, how would you characterize their synthetic genetic interaction?","In Saccharomyces cerevisiae, when both PAU4 and RPD3 are concurrently mutated and the cells are exposed to dimethyl sulfate, how would you characterize their synthetic genetic interaction?"
CAF40,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, what effect on cellular fitness is observed when CAF40 and RPD3 are concurrently mutated during exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, what effect on cellular fitness is observed when CAF40 and RPD3 are concurrently mutated during exposure to dimethyl sulfate?"
CAF40,SIN3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of CAF40 and SIN3 influence cellular behavior when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous mutation of CAF40 and SIN3 influence cellular behavior when the cells are exposed to dimethyl sulfate?"
SAM3,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae strains harboring mutations in SAM3 and RPD3 and exposed to dimethyl sulfate, how is the genetic interplay affected under these stress conditions?","In Saccharomyces cerevisiae strains harboring mutations in SAM3 and RPD3 and exposed to dimethyl sulfate, how is the genetic interplay affected under these stress conditions?"
