gene_a,gene_b,cell_line,interaction,user_question,experiment_instruction,full_query
SMARCA2,FANCM,A427,synthetic lethality,"We're investigating the concurrent mutation of SMARCA2 and FANCM in the A427 lung cancer cell line. Could you determine what synthetic genetic interaction exists between these two mutations, if any?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating the concurrent mutation of SMARCA2 and FANCM in the A427 lung cancer cell line. Could you determine what synthetic genetic interaction exists between these two mutations, if any? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CTNNB1,VHL,A427,synthetic lethality,We're conducting an experiment in A427 lung cancer cells where we've mutated both CTNNB1 and VHL genes. Could you tell me what synthetic genetic interaction might exist between these two mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're conducting an experiment in A427 lung cancer cells where we've mutated both CTNNB1 and VHL genes. Could you tell me what synthetic genetic interaction might exist between these two mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
MUTYH,AURKA,A427,synthetic lethality,"We've created a double mutant cell line where both MUTYH and AURKA are inactivated in the A427 lung cancer cells. I'm interested in understanding what type of synthetic genetic interaction occurs between these mutations, if any. Can you provide insight on the phenotypic consequences of this combination?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've created a double mutant cell line where both MUTYH and AURKA are inactivated in the A427 lung cancer cells. I'm interested in understanding what type of synthetic genetic interaction occurs between these mutations, if any. Can you provide insight on the phenotypic consequences of this combination? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
RNF8,BAP1,A427,synthetic lethality,We're looking at potential synthetic genetic interactions in A427 lung cancer cells with co-mutations in RNF8 and BAP1. Can you tell me what kind of synthetic genetic interaction would result from these concurrent mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're looking at potential synthetic genetic interactions in A427 lung cancer cells with co-mutations in RNF8 and BAP1. Can you tell me what kind of synthetic genetic interaction would result from these concurrent mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CTNNB1,MSH2,A427,synthetic lethality,We're looking at the effect of co-mutations in CTNNB1 and MSH2 in the A427 lung cancer cell line. Could you tell me if there's any synthetic genetic interaction between these two mutations and what the phenotypic outcome would be?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're looking at the effect of co-mutations in CTNNB1 and MSH2 in the A427 lung cancer cell line. Could you tell me if there's any synthetic genetic interaction between these two mutations and what the phenotypic outcome would be? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PARG,PTEN,A427,synthetic lethality,"I'm investigating the functional relationship between PARG and PTEN through mutation studies in the A427 lung cancer cell line. What synthetic genetic interaction, if any, would result from the simultaneous inactivation of both genes in this cellular context?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","I'm investigating the functional relationship between PARG and PTEN through mutation studies in the A427 lung cancer cell line. What synthetic genetic interaction, if any, would result from the simultaneous inactivation of both genes in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
POLE,CREBBP,A427,synthetic lethality,We're investigating a combined gene knockout study of POLE and CREBBP in the A427 lung cancer cell line. Can you tell me what synthetic genetic interaction would result from these concurrent mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating a combined gene knockout study of POLE and CREBBP in the A427 lung cancer cell line. Can you tell me what synthetic genetic interaction would result from these concurrent mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
CREBBP,REV3L,A427,synthetic lethality,"We've engineered a dual knockout of CREBBP and REV3L in our A427 lung cancer cell line. Can you determine if there's any synthetic genetic interaction between these two mutations, and what phenotypic effects we might observe?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a dual knockout of CREBBP and REV3L in our A427 lung cancer cell line. Can you determine if there's any synthetic genetic interaction between these two mutations, and what phenotypic effects we might observe? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
TTN,SAE1,A427,synthetic lethality,We're investigating the effects of dual gene mutations in our A427 lung carcinoma model. Could you determine if there's any synthetic genetic interaction between TTN and SAE1 mutations in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating the effects of dual gene mutations in our A427 lung carcinoma model. Could you determine if there's any synthetic genetic interaction between TTN and SAE1 mutations in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
HLTF,MYC,A427,synthetic lethality,I'm evaluating the potential synthetic genetic interaction between HLTF and MYC mutations in our A427 lung cancer cells. Can you determine if there's a significant synthetic interaction when both genes are simultaneously mutated in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","I'm evaluating the potential synthetic genetic interaction between HLTF and MYC mutations in our A427 lung cancer cells. Can you determine if there's a significant synthetic interaction when both genes are simultaneously mutated in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
