gene_a,gene_b,condition,interaction,user_question,full_query
RSM23,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both RSM23 and RSC1 are mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, when both RSM23 and RSC1 are mutated and the cells are exposed to bleomycin, what synthetic genetic interaction emerges under these conditions?"
RSM23,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, we have engineered cells with concurrent mutations in RSM23 and SGS1 that are subsequently exposed to bleomycin. Could you explain how these genetic alterations interact under this condition?","In Saccharomyces cerevisiae, we have engineered cells with concurrent mutations in RSM23 and SGS1 that are subsequently exposed to bleomycin. Could you explain how these genetic alterations interact under this condition?"
UGP1,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of UGP1 and RSC1 affect cellular responses when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of UGP1 and RSC1 affect cellular responses when cells are exposed to bleomycin?"
MHR1,MSH6,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of MHR1 and MSH6 influence the overall genetic interaction profile?","In Saccharomyces cerevisiae treated with bleomycin, how does the simultaneous mutation of MHR1 and MSH6 influence the overall genetic interaction profile?"
MHR1,IDP2,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, what can be inferred about the genetic interplay when both MHR1 and IDP2 are concurrently disrupted?","In Saccharomyces cerevisiae treated with bleomycin, what can be inferred about the genetic interplay when both MHR1 and IDP2 are concurrently disrupted?"
ERV29,MSH6,BLEO,non-sl,"In Saccharomyces cerevisiae, when ERV29 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, how does the resulting genetic interplay manifest?","In Saccharomyces cerevisiae, when ERV29 and MSH6 are concurrently mutated and the cells are exposed to bleomycin, how does the resulting genetic interplay manifest?"
MRPL6,IRA1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of MRPL6 and IRA1 influence cellular fitness when the cells are cultured in the presence of bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of MRPL6 and IRA1 influence cellular fitness when the cells are cultured in the presence of bleomycin?"
MRPL6,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both MRPL6 and SGS1 are concurrently mutated and the cells are grown in the presence of bleomycin, how do these gene disruptions interact at the genetic level?","In Saccharomyces cerevisiae, when both MRPL6 and SGS1 are concurrently mutated and the cells are grown in the presence of bleomycin, how do these gene disruptions interact at the genetic level?"
SXM1,IRA1,BLEO,non-sl,"In Saccharomyces cerevisiae cells with concurrent mutations in SXM1 and IRA1, how does exposure to bleomycin affect their genetic interplay?","In Saccharomyces cerevisiae cells with concurrent mutations in SXM1 and IRA1, how does exposure to bleomycin affect their genetic interplay?"
YDL073W,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of YDL073W and RPD3 affect cellular functions when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of YDL073W and RPD3 affect cellular functions when cells are exposed to bleomycin?"
YDL073W,HO,BLEO,non-sl,"In Saccharomyces cerevisiae carrying mutations in both YDL073W and HO with exposure to bleomycin, how do these genetic alterations interact at a synthetic level?","In Saccharomyces cerevisiae carrying mutations in both YDL073W and HO with exposure to bleomycin, how do these genetic alterations interact at a synthetic level?"
YML119W,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the combined mutation of YML119W and RPD3 influence the overall genetic interaction profile when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the combined mutation of YML119W and RPD3 influence the overall genetic interaction profile when cells are exposed to bleomycin?"
RPL42A,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the co-mutation of RPL42A and RAD51 affect the interplay of genetic functions when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the co-mutation of RPL42A and RAD51 affect the interplay of genetic functions when cells are exposed to bleomycin?"
RPL42A,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the combined mutation of RPL42A and SGS1 affect the genetic interaction when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the combined mutation of RPL42A and SGS1 affect the genetic interaction when the cells are exposed to bleomycin?"
SMA2,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, when the SMA2 and RAD51 genes are concurrently mutated and the cells are challenged with bleomycin, what genetic phenotype does this combination elicit under these conditions?","In Saccharomyces cerevisiae, when the SMA2 and RAD51 genes are concurrently mutated and the cells are challenged with bleomycin, what genetic phenotype does this combination elicit under these conditions?"
SAS4,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous mutation of SAS4 and RPD3 affect the observed synthetic genetic interaction when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of SAS4 and RPD3 affect the observed synthetic genetic interaction when cells are exposed to bleomycin?"
SAS4,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells harbor concurrent mutations in SAS4 and SGS1 and are then exposed to bleomycin, what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, when cells harbor concurrent mutations in SAS4 and SGS1 and are then exposed to bleomycin, what synthetic genetic interaction emerges under these conditions?"
MOD5,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, how do mutations in both MOD5 and RPD3 interact under bleomycin treatment?","In Saccharomyces cerevisiae, how do mutations in both MOD5 and RPD3 interact under bleomycin treatment?"
YML095C-A,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YML095C-A and DST1 affect genetic pathways and cellular viability?","In Saccharomyces cerevisiae exposed to bleomycin, how does the concurrent mutation of YML095C-A and DST1 affect genetic pathways and cellular viability?"
YML095C-A,CDC4,BLEO,non-sl,"In Saccharomyces cerevisiae, what synthetic genetic interaction emerges when both YML095C-A and CDC4 are concurrently mutated in cells treated with bleomycin?","In Saccharomyces cerevisiae, what synthetic genetic interaction emerges when both YML095C-A and CDC4 are concurrently mutated in cells treated with bleomycin?"
HDA1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae exposed to bleomycin, what genetic outcome do you observe when both the HDA1 and DST1 genes are concurrently mutated?","In Saccharomyces cerevisiae exposed to bleomycin, what genetic outcome do you observe when both the HDA1 and DST1 genes are concurrently mutated?"
RIP1,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how would concurrent mutations in RIP1 and DST1 influence cell survival or other phenotypic traits, suggesting a synthetic genetic interaction?","In Saccharomyces cerevisiae treated with bleomycin, how would concurrent mutations in RIP1 and DST1 influence cell survival or other phenotypic traits, suggesting a synthetic genetic interaction?"
