gene_a,gene_b,condition,interaction,user_question,full_query
AEP3,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both AEP3 and DST1 are mutated and the cells are exposed to bleomycin, what are the observed effects suggesting about their genetic interplay?","In Saccharomyces cerevisiae, when both AEP3 and DST1 are mutated and the cells are exposed to bleomycin, what are the observed effects suggesting about their genetic interplay?"
AEP3,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both AEP3 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed regarding cell growth and survival?","In Saccharomyces cerevisiae, when both AEP3 and SGS1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed regarding cell growth and survival?"
PEX3,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of PEX3 and DST1 affect cellular responses under bleomycin treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of PEX3 and DST1 affect cellular responses under bleomycin treatment?"
END3,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the co-occurrence of mutations in END3 and RAD9 influence the synthetic genetic interaction when cells are treated with bleomycin?","In Saccharomyces cerevisiae, how does the co-occurrence of mutations in END3 and RAD9 influence the synthetic genetic interaction when cells are treated with bleomycin?"
END3,ELA1,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how would you characterize the synthetic genetic interaction observed when both the END3 and ELA1 genes are concurrently mutated?","In Saccharomyces cerevisiae treated with bleomycin, how would you characterize the synthetic genetic interaction observed when both the END3 and ELA1 genes are concurrently mutated?"
TAF13,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae cultures subjected to bleomycin treatment, what can be observed when TAF13 and RAD9 are both mutated?","In Saccharomyces cerevisiae cultures subjected to bleomycin treatment, what can be observed when TAF13 and RAD9 are both mutated?"
RPN4,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both RPN4 and RSC1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction can be observed between these alterations?","In Saccharomyces cerevisiae, when both RPN4 and RSC1 are concurrently mutated and the cells are exposed to bleomycin, what synthetic genetic interaction can be observed between these alterations?"
RPN4,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells harbor mutations in both RPN4 and SGS1 and are exposed to bleomycin, what synthetic genetic interaction do you observe?","In Saccharomyces cerevisiae, when cells harbor mutations in both RPN4 and SGS1 and are exposed to bleomycin, what synthetic genetic interaction do you observe?"
IRC23,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both the IRC23 and RSC1 genes are disrupted and the cells are subjected to bleomycin treatment, what synthetic genetic effects might we expect to see?","In Saccharomyces cerevisiae, when both the IRC23 and RSC1 genes are disrupted and the cells are subjected to bleomycin treatment, what synthetic genetic effects might we expect to see?"
CHS6,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of CHS6 and RAD9 affect cell viability when exposed to bleomycin, and what synthetic genetic interaction emerges under this treatment?","In Saccharomyces cerevisiae, how does the concurrent mutation of CHS6 and RAD9 affect cell viability when exposed to bleomycin, and what synthetic genetic interaction emerges under this treatment?"
